node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,,,,,,,False,False,False,2,8,2.3666666666666667,0.2729096989966555,0.07312483197419123,0.005647655749630469,0.00492437624790566,7.654929577464789,8.375,0.0072248661480594735,0.007980578744549464,0.4642857142857143,13,6,13,5,4.0,222.0,265.0,304.0,350.0,162.0,256.0,343.0,355.0,8,1.96,8.375,40,9.8,9.25,151,37.01,10.304635761589404
person,,,,,,,False,False,False,2,7,2.083333333333333,0.2813793103448276,0.08176625805805138,0.004129965074025291,0.005444763900646252,9.96,10.428571428571429,0.019153989829806588,0.022589922340385718,0.42857142857142855,9,7,13,5,3.5,265.0,298.0,267.0,201.0,219.0,226.0,247.0,260.0,7,1.72,10.428571428571429,47,11.52,11.446808510638299,192,47.06,10.880208333333334
person,,,,,,,True,False,False,2,9,2.7,0.29101283880171186,0.07819087773093139,0.004956573686483916,0.0035676145970263617,9.641975308641975,10.333333333333334,0.012826483812221165,0.012493295719783597,0.5277777777777778,19,6,17,6,4.5,176.0,209.0,214.0,282.0,193.0,297.0,294.0,311.0,9,2.21,10.333333333333334,50,12.25,9.38,209,51.23,10.349282296650717
person,,,,,,,False,False,False,2,5,1.6666666666666665,0.26877470355731226,0.08010209090016689,0.0014551359502232636,0.005368900221841398,6.8,6.8,0.005311659049565711,0.007215722035590016,0.4,4,6,12,5,2.5,335.0,339.0,319.0,246.0,342.0,230.0,362.0,361.0,5,1.23,6.8,26,6.37,10.384615384615385,146,35.78,10.623287671232877
person,,,,,,,False,False,False,3,17,4.083333333333333,0.3202511773940345,0.08610319721430833,0.022282270908714655,0.01846277397747986,10.408163265306124,10.705882352941176,0.03630341898597577,0.04392022926943725,0.3088235294117647,42,6,25,7,5.666666666666667,22.0,37.0,57.0,90.0,15.0,10.0,135.0,125.0,17,4.17,10.705882352941176,82,20.1,10.414634146341463,275,67.4,10.32
person,,,,,,,False,False,False,2,12,3.566666666666667,0.32125984251968503,0.088647474198805,0.009915809911162575,0.011854391901183344,11.869158878504672,12.583333333333334,0.05583105769847365,0.0478241741868845,0.45454545454545453,30,5,23,7,6.0,74.0,81.0,55.0,50.0,64.0,49.0,70.0,108.0,12,2.94,12.583333333333334,86,21.08,11.255813953488373,279,68.38,10.519713261648745
person,,,,,,,False,False,True,2,13,3.566666666666667,0.33251833740831294,0.0845537441282122,0.012825118506277579,0.011262599932386036,14.855140186915888,15.846153846153847,0.10477553633377498,0.0829985511835843,0.48717948717948717,38,6,30,8,6.5,57.0,81.0,27.0,131.0,43.0,61.0,27.0,39.0,13,3.19,15.846153846153847,103,25.25,12.184466019417476,303,74.26,10.468646864686468
person,,,,,,,False,False,False,2,6,1.9166666666666663,0.2712765957446808,0.07697387038958589,0.0025209272370824982,0.0024774296833120356,8.130434782608697,8.333333333333334,0.011458373350604045,0.015665994464519443,0.4666666666666667,7,6,12,5,3.0,304.0,314.0,309.0,300.0,295.0,334.0,307.0,292.0,6,1.47,8.333333333333334,31,7.6,11.35483870967742,160,39.22,11.1625
person,,,,,,,False,False,False,3,12,2.6500000000000004,0.3180046765393609,0.07934655775962661,0.004280240222362316,0.0025726165432047787,13.207547169811319,13.5,0.09144011548110134,0.049542438808293524,0.5757575757575758,38,6,31,9,4.0,74.0,224.0,63.0,260.0,212.0,331.0,34.0,100.0,12,2.94,13.5,74,18.14,11.864864864864865,279,68.38,10.663082437275985
person,,,,,,,False,False,False,3,14,3.316666666666667,0.3217665615141956,0.08484974524279922,0.014050422041398314,0.010244421273833036,10.532663316582916,10.928571428571429,0.043386362458821486,0.028511477015770816,0.3076923076923077,28,6,24,7,4.666666666666667,44.0,113.0,54.0,125.0,37.0,75.0,104.0,221.0,14,3.43,10.928571428571429,88,21.57,11.136363636363637,282,69.12,10.333333333333334
person,,,,,,,False,False,False,2,10,3.0,0.2989010989010989,0.08530211164541084,0.006805944250308204,0.008623090240737302,10.555555555555555,10.9,0.026810417028067624,0.031502919568989214,0.4666666666666667,21,7,17,6,5.0,140.0,156.0,157.0,114.0,116.0,117.0,191.0,200.0,10,2.45,10.9,64,15.69,11.0625,230,56.37,10.61304347826087
person,,,,,,,False,False,False,2,8,2.5,0.28732394366197184,0.08391608391608392,0.005055314823643566,0.007951448392624863,8.833333333333332,8.875,0.01178872951933071,0.015496785659807782,0.4642857142857143,13,5,16,6,4.0,222.0,248.0,242.0,146.0,186.0,142.0,300.0,293.0,8,1.96,8.875,45,11.03,10.4,196,48.04,10.785714285714286
person,,,,,,,False,False,False,2,9,2.533333333333333,0.3044776119402985,0.08334184455111837,0.006225129626351961,0.0081803418200477,11.407894736842106,12.333333333333334,0.04192255954635808,0.03892091356571947,0.4444444444444444,16,7,19,6,4.5,176.0,244.0,121.0,159.0,139.0,134.0,111.0,150.0,9,2.21,12.333333333333334,70,17.16,11.442857142857143,249,61.03,10.53012048192771
person,,,,,,,False,False,True,2,10,2.95,0.3100303951367781,0.08575932737782449,0.0052390020447772865,0.007730806627865447,11.3954802259887,11.9,0.03188699587220499,0.033207618725970625,0.4666666666666667,21,7,24,7,5.0,140.0,172.0,96.0,97.0,185.0,150.0,159.0,184.0,10,2.45,11.9,71,17.4,11.549295774647888,264,64.71,10.753787878787879
person,,,,,,,False,False,False,2,5,1.45,0.2853146853146853,0.07633302151543499,0.0,0.0,12.505747126436782,13.2,0.02222264119434792,0.0200335873199065,1.0,10,7,12,5,2.5,335.0,364.0,251.0,308.0,384.0,383.0,217.0,268.0,5,1.23,13.2,43,10.54,12.069767441860465,200,49.02,10.89
person,,,,,,,True,False,False,2,9,2.783333333333333,0.2928930366116296,0.08395349634761136,0.004157494135286063,0.0046323299999770605,10.820359281437126,11.222222222222221,0.02414710857436525,0.02987446508712395,0.4722222222222222,17,7,23,7,4.5,176.0,193.0,202.0,145.0,218.0,268.0,204.0,212.0,9,2.21,11.222222222222221,58,14.22,11.137931034482758,211,51.72,10.734597156398104
person,,,,,,,True,True,False,3,17,4.15,0.3355263157894737,0.08828620888632428,0.0187931521898443,0.011896169750447818,12.93574297188755,13.470588235294118,0.07781265314787819,0.06350762817190529,0.3602941176470588,49,6,26,7,5.666666666666667,22.0,33.0,19.0,55.0,21.0,48.0,46.0,68.0,17,4.17,13.470588235294118,107,26.23,11.093457943925234,305,74.75,10.2
person,,,,,,,False,True,False,2,11,3.3333333333333335,0.2928930366116296,0.08337590681516296,0.011812076817577722,0.016065762756939224,11.724999999999998,12.272727272727273,0.06902496088561542,0.09490326134340431,0.5636363636363636,31,5,28,8,5.5,103.0,103.0,202.0,158.0,48.0,15.0,57.0,27.0,11,2.7,12.272727272727273,54,13.24,11.61111111111111,206,50.49,10.597087378640778
person,,,,,,,False,False,False,2,8,2.183333333333333,0.2937365010799136,0.07559755419677598,0.0036245400327065,0.0026651574445692096,11.167938931297712,12.5,0.021790178117812822,0.01786802016559453,0.5,14,7,17,6,4.0,222.0,289.0,195.0,318.0,251.0,326.0,220.0,281.0,8,1.96,12.5,62,15.2,11.46774193548387,208,50.98,10.802884615384615
person,,,,,,,False,False,True,3,12,3.3666666666666667,0.29737609329446063,0.08265244108312511,0.0064488837360801325,0.0038123789460687858,10.292079207920791,10.5,0.042395636113399714,0.09223224157842863,0.42424242424242425,28,6,25,7,4.0,74.0,100.0,172.0,173.0,128.0,291.0,108.0,28.0,12,2.94,10.5,58,14.22,11.862068965517242,226,55.39,11.030973451327434
person,,,,,,,False,False,False,2,5,1.583333333333333,0.26842105263157895,0.07921561013493836,0.0016045736817593983,0.005279281382222559,7.2105263157894735,7.4,0.008105330556642192,0.00987903153110189,0.4,4,7,12,5,2.5,335.0,354.0,322.0,261.0,335.0,235.0,335.0,339.0,5,1.23,7.4,29,7.11,10.137931034482758,148,36.27,11.35135135135135
person,,,,,,,False,False,True,2,13,3.9166666666666674,0.3227848101265823,0.09417195614541259,0.009328969670199647,0.013258625641647022,13.425531914893613,13.846153846153847,0.10088136918875498,0.11032902152917892,0.46153846153846156,36,6,26,7,6.5,57.0,54.0,51.0,4.0,75.0,31.0,31.0,17.0,13,3.19,13.846153846153847,92,22.55,12.66304347826087,282,69.12,10.443262411347519
person,,,,,,,False,False,False,2,9,2.3166666666666664,0.31264367816091954,0.08080808080808081,0.002564232850789429,0.0024552531905473077,15.093525179856117,15.777777777777779,0.08208833908860065,0.05526422799394655,0.5277777777777778,19,6,23,7,4.5,176.0,273.0,84.0,227.0,294.0,336.0,42.0,91.0,9,2.21,15.777777777777779,78,19.12,12.756410256410257,261,63.97,10.613026819923371
person,,,,,,,False,False,False,2,12,4.283333333333334,0.30022075055187636,0.08328513591671487,0.005840601827875349,0.005475363881112549,11.517509727626457,11.666666666666666,0.032161437670069785,0.06426614519522714,0.5757575757575758,38,7,29,8,6.0,74.0,24.0,148.0,160.0,151.0,224.0,157.0,63.0,12,2.94,11.666666666666666,60,14.71,11.55,241,59.07,10.846473029045644
person,,,,,,,False,False,False,2,8,2.5,0.26305609284332687,0.07644744238336144,0.0,0.0,11.599999999999998,11.625,0.01503828514234339,0.03724588089309457,1.0,28,7,28,8,4.0,222.0,248.0,338.0,306.0,384.0,383.0,278.0,162.0,8,1.96,11.625,32,7.84,10.375,140,34.31,10.842857142857143
person,,,,,,,True,False,False,3,12,3.35,0.2918454935622318,0.07882280967253759,0.0037963705074667434,0.003803836524424759,11.716417910447761,10.916666666666666,0.03355048144809336,0.030577540742495253,0.48484848484848486,32,7,24,7,4.0,74.0,102.0,209.0,269.0,239.0,292.0,148.0,206.0,12,2.94,10.916666666666666,57,13.97,10.228070175438596,209,51.23,10.665071770334928
person,,,,,,,False,False,False,2,5,1.6666666666666665,0.23859649122807017,0.06979727995894278,0.004763288148755845,0.0073896662131956265,6.2,6.2,0.0024788172742504053,0.003311835637020999,0.4,4,6,11,4,2.5,335.0,339.0,375.0,373.0,199.0,158.0,377.0,388.0,5,1.23,6.2,19,4.66,7.7894736842105265,71,17.4,10.704225352112676
person,,,,,,,False,False,False,2,9,2.916666666666667,0.2897727272727273,0.08198533105596302,0.001734251935273028,0.0021653404006345195,10.71428571428571,10.88888888888889,0.021819337985835238,0.0372636451606387,0.6388888888888888,23,7,24,7,4.5,176.0,176.0,228.0,197.0,330.0,344.0,219.0,161.0,9,2.21,10.88888888888889,45,11.03,12.0,205,50.25,10.887804878048781
person,,,,,,,False,False,False,2,5,1.5833333333333333,0.2622107969151671,0.0743372506149221,0.0031124241257256768,0.005122330122330123,7.7368421052631575,8.0,0.009677018616031674,0.014679797407392356,0.4,4,6,7,4,2.5,335.0,351.0,339.0,339.0,272.0,244.0,318.0,299.0,5,1.23,8.0,30,7.35,10.766666666666667,127,31.13,10.850393700787402
person,,,,,,,True,False,False,2,15,4.533333333333333,0.3072289156626506,0.08717948717948718,0.015705567761730682,0.02160567628482069,12.003676470588236,12.333333333333334,0.039663655228550296,0.07046866485062837,0.4666666666666667,49,6,28,8,7.5,39.0,14.0,107.0,72.0,29.0,2.0,121.0,55.0,15,3.68,12.333333333333334,75,18.38,10.533333333333333,241,59.07,10.639004149377593
person,,,,,,,False,False,False,2,9,2.7833333333333337,0.29039145907473307,0.086194148093377,0.006581142122820647,0.00836479753592053,10.089820359281436,10.777777777777779,0.019918680288190008,0.03136388846885393,0.5,18,7,16,6,4.5,176.0,190.0,222.0,88.0,123.0,129.0,240.0,202.0,9,2.21,10.777777777777779,55,13.48,11.127272727272727,209,51.23,10.425837320574162
person,,,,,,,False,False,False,2,8,2.45,0.28274428274428276,0.07972642892037128,0.003998631460320257,0.00505182951707016,8.863945578231293,9.5,0.014818456518740013,0.017337210642950934,0.4642857142857143,13,7,16,6,4.0,222.0,255.0,259.0,252.0,229.0,249.0,280.0,283.0,8,1.96,9.5,43,10.54,10.627906976744185,175,42.89,11.142857142857142
person,,,,,,,True,False,False,2,13,4.033333333333334,0.29846378931967815,0.08682082564902822,0.005032711811669335,0.00684443515325868,12.243801652892559,12.615384615384615,0.05813870012481064,0.11902436840090569,0.5,39,6,25,7,6.5,57.0,40.0,161.0,78.0,190.0,176.0,66.0,13.0,13,3.19,12.615384615384615,66,16.18,11.030303030303031,220,53.92,10.554545454545455
person,,,,,,,False,False,True,2,8,2.283333333333333,0.29416005767844267,0.0774413969820632,0.005045192570989023,0.006431240689262081,10.204379562043794,11.25,0.02038734680427142,0.018105922296287436,0.42857142857142855,12,6,16,6,4.0,222.0,275.0,192.0,291.0,189.0,195.0,235.0,279.0,8,1.96,11.25,56,13.73,10.678571428571429,215,52.7,10.725581395348836
person,,,,,,,False,False,False,2,9,2.7833333333333337,0.2918454935622318,0.0826831492552437,0.0063993921917343995,0.009319980275862632,9.053892215568862,9.555555555555555,0.015737666898860813,0.020259475980348024,0.4444444444444444,16,7,18,6,4.5,176.0,190.0,209.0,171.0,130.0,95.0,272.0,267.0,9,2.21,9.555555555555555,50,12.25,10.56,218,53.43,11.004587155963304
person,,,,,,,True,False,False,2,5,1.6666666666666665,0.2350230414746544,0.07152457196283528,0.0018671038281759297,0.00275460716637187,6.000000000000001,6.0,0.0020917991991365554,0.00393104227846086,0.6,6,7,7,4,2.5,335.0,339.0,377.0,364.0,326.0,323.0,382.0,379.0,5,1.23,6.0,18,4.41,7.666666666666667,75,18.38,10.466666666666667
person,,,,,,,False,False,False,2,12,3.416666666666667,0.32406671961874506,0.09168539325842696,0.005800987892958627,0.012976334734356134,14.17073170731707,15.083333333333334,0.10626388258771742,0.08901759143009015,0.5,33,6,26,7,6.0,74.0,95.0,47.0,22.0,154.0,35.0,23.0,30.0,12,2.94,15.083333333333334,92,22.55,12.293478260869565,284,69.61,10.496478873239436
person,,,,,,,False,False,False,2,8,3.0,0.2952243125904486,0.08750044679558207,0.0014253064239938206,0.0052407879613762,11.33333333333333,10.625,0.026565901685688644,0.039162996321652634,0.5714285714285714,16,7,24,7,4.0,222.0,156.0,187.0,65.0,345.0,238.0,194.0,148.0,8,1.96,10.625,52,12.75,12.5,226,55.39,10.942477876106194
person,,,,,,,False,False,False,2,6,1.7,0.288135593220339,0.07678554625011763,0.0035279419901774233,0.005785999903646963,10.950980392156863,11.666666666666666,0.01712548374178262,0.015693822304732184,0.4666666666666667,7,7,12,5,3.0,304.0,333.0,236.0,303.0,256.0,213.0,262.0,290.0,6,1.47,11.666666666666666,47,11.52,11.617021276595745,201,49.26,10.582089552238806
person,,,,,,,False,False,False,2,10,2.783333333333333,0.31384615384615383,0.08066429418742586,0.005846768571154428,0.005971542067798757,12.395209580838324,13.4,0.047692046775222284,0.03892661246272557,0.5111111111111111,23,6,23,7,5.0,140.0,193.0,81.0,235.0,150.0,209.0,86.0,149.0,10,2.45,13.4,73,17.89,11.602739726027398,272,66.67,10.628676470588236
person,,,,,,,False,False,False,3,13,3.033333333333333,0.3065364387678437,0.08049189491335941,0.010203404814170498,0.008466922805158096,10.071428571428571,10.615384615384615,0.028949544415244857,0.023540796182563647,0.3717948717948718,29,6,23,7,4.333333333333333,57.0,153.0,114.0,239.0,61.0,126.0,180.0,253.0,13,3.19,10.615384615384615,71,17.4,10.746478873239436,240,58.82,10.783333333333333
person,,,,,,,False,False,False,2,1,0.3333333333333333,0.23142370958593306,0.06276601199938464,0.0,0.0,8.0,8.0,0.0039871733544177244,0.00301076249983038,0.0,0,8,1,1,0.5,407.0,407.0,382.0,401.0,384.0,383.0,369.0,392.0,1,0.25,8.0,8,1.96,15.5,61,14.95,12.01639344262295
person,,,,,,,True,True,True,2,14,4.416666666666667,0.30839002267573695,0.09114263375404892,0.005815214876492143,0.011548880750083956,12.358490566037736,12.714285714285714,0.06220232187619839,0.09863710361841636,0.4835164835164835,44,6,28,8,7.0,44.0,20.0,100.0,28.0,153.0,56.0,62.0,25.0,14,3.43,12.714285714285714,72,17.65,11.805555555555555,252,61.76,10.555555555555555
person,,,,,,,True,True,True,3,21,5.076190476190476,0.3417085427135678,0.08752547463262898,0.01960733687861295,0.008852288999347818,14.083489681050656,14.19047619047619,0.15273444619845947,0.14738494349354633,0.36666666666666664,77,5,29,8,7.0,6.0,2.0,13.0,64.0,19.0,109.0,8.0,6.0,21,5.15,14.19047619047619,111,27.21,11.18018018018018,315,77.21,10.215873015873015
person,,,,,,,False,False,False,2,14,4.5,0.31530139103554866,0.09118337244384847,0.009346512347275054,0.01765227330066903,11.333333333333334,11.571428571428571,0.03131239748378324,0.05581776405707837,0.46153846153846156,42,6,25,7,7.0,44.0,16.0,74.0,26.0,73.0,12.0,167.0,89.0,14,3.43,11.571428571428571,74,18.14,11.14864864864865,269,65.93,10.446096654275093
person,,,,,,,False,False,False,2,4,1.0833333333333333,0.2707365627073656,0.06821601738839658,0.0,0.0,11.76923076923077,12.25,0.02041223716034778,0.013163105372887287,1.0,6,8,6,4,2.0,370.0,388.0,312.0,379.0,384.0,383.0,234.0,306.0,4,0.98,12.25,30,7.35,13.266666666666667,158,38.73,11.569620253164556
person,,,,,,,False,False,False,2,7,2.2499999999999996,0.27037773359840955,0.07872648335745297,0.0014311374439245955,0.002639197258181215,8.925925925925927,9.0,0.018130553488458274,0.019215103057099777,0.5238095238095238,11,6,16,6,3.5,265.0,281.0,314.0,273.0,344.0,327.0,256.0,272.0,7,1.72,9.0,39,9.56,11.948717948717949,153,37.5,10.954248366013072
person,,,,,,,False,False,False,3,8,2.0,0.28854314002828857,0.07830342577487764,0.006236149800471124,0.0066343941343941296,8.25,8.25,0.012347432376067254,0.010746468817965633,0.39285714285714285,11,5,16,6,2.6666666666666665,222.0,302.0,235.0,279.0,138.0,184.0,297.0,323.0,8,1.96,8.25,44,10.78,10.613636363636363,193,47.3,10.533678756476684
person,,,,,,,False,False,False,2,10,2.95,0.3004418262150221,0.0828258221680877,0.005379475057331935,0.007018635327458857,10.604519774011298,11.1,0.02523638989778079,0.02834094401246353,0.4666666666666667,21,7,18,6,5.0,140.0,172.0,144.0,168.0,178.0,169.0,201.0,223.0,10,2.45,11.1,64,15.69,11.0625,235,57.6,10.748936170212765
person,,,,,,,False,False,False,3,16,3.666666666666667,0.3383084577114428,0.08187838651414811,0.015146473089501606,0.006509899892252836,13.89090909090909,14.5,0.11596528758533224,0.06421135690612614,0.38333333333333336,46,7,26,7,5.333333333333333,31.0,71.0,15.0,200.0,32.0,190.0,15.0,65.0,16,3.92,14.5,109,26.72,12.284403669724771,316,77.45,10.246835443037975
