node,node_type,org_cat,corp_cat,corp_sub,rank,bipartite_degree,ppg_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,corp_bipartite_degree,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Socony-Vacuum Oil Company,org,Corporation,non-financial,industrial,NF-021,9,9,2,0.059714795008912656,0.3227665706051873,0.01183258145804712,6.275873290560331e-05,0.0,22.686567164179106,22.5,0.012227066286151762,0.0018568022083111655,0.0,0,5,2,2,9.0,0.2222222222222222,190.0,205.0,170.0,196.0,189.0,178.0,169.0,190.0,2,0.89,22.5,42,18.75,16.857142857142858,165,73.66,12.715151515151515
Southern California Edison Company,org,Corporation,non-financial,utility,NF-060,13,13,7,0.3422023809523809,0.32989690721649484,0.012691769425300817,0.00571545252670595,0.016415759128763613,8.627123557720184,10.0,0.014691906703439865,0.0029967792932575872,0.38095238095238093,8,5,7,4,13.0,0.5384615384615384,128.0,118.0,160.0,177.0,91.0,48.0,159.0,173.0,7,3.12,10.0,50,22.32,15.68,168,75.0,12.339285714285714
Southern Pacific Company,org,Corporation,non-financial,railroad,NF-007,15,15,22,0.8665085080426953,0.4332688588007737,0.018774084977878393,0.03140294942093607,0.038456918641896216,19.122605022435135,18.818181818181817,0.1228047186158122,0.045225373167682444,0.23809523809523808,55,4,36,8,15.0,1.4666666666666666,21.0,29.0,16.0,23.0,13.0,15.0,17.0,36.0,22,9.82,18.818181818181817,141,62.95,13.453900709219859,216,96.43,10.717592592592593
Southern Railway,org,Corporation,non-financial,railroad,NF-036,11,11,9,0.3905574046953356,0.37271214642262895,0.016363395390629105,0.0018607549918503456,0.00804105274396754,17.798264402989407,18.22222222222222,0.050705833062125,0.018824561341238884,0.5277777777777778,19,4,21,8,11.0,0.8181818181818182,105.0,108.0,93.0,83.0,141.0,85.0,80.0,93.0,9,4.02,18.22222222222222,83,37.05,15.783132530120483,203,90.62,11.280788177339902
St. Louis Public Service Company,org,Corporation,non-financial,utility,NF-187,13,13,2,0.06548856548856549,0.2994652406417112,0.012111589251217348,0.0006451426551922665,0.0005605381165919282,12.873015873015872,12.0,0.004879813463404675,0.020823699268761816,0.0,0,6,2,2,13.0,0.15384615384615385,190.0,204.0,192.0,189.0,165.0,162.0,196.0,82.0,2,0.89,12.0,24,10.71,14.625,135,60.27,13.466666666666667
St. Louis-San Francisco Railway,org,Corporation,non-financial,railroad,NF-051,2,2,1,0.05555555555555555,0.266984505363528,0.011858520996708411,0.0,0.0,12.0,12.0,0.0015105209290820576,0.0004853815996007617,0.0,0,7,1,1,2.0,0.5,203.0,207.0,209.0,195.0,193.0,178.0,213.0,212.0,1,0.45,12.0,12,5.36,12.166666666666666,76,33.93,13.828947368421053
St. Regis Paper Company,org,Corporation,non-financial,industrial,NF-183,9,9,4,0.20155631013016412,0.33185185185185184,0.014577292944807424,0.0008219193591616129,0.001581518257527226,12.949178716832794,13.5,0.012291502364708485,0.006048653936725055,0.5,3,6,5,4,9.0,0.4444444444444444,164.0,160.0,157.0,129.0,161.0,140.0,168.0,148.0,4,1.79,13.5,45,20.09,16.022222222222222,177,79.02,12.350282485875706
Standard Gas & Electric Company (Delaware),org,Corporation,non-financial,utility,NF-033,14,14,2,0.07417582417582418,0.2660332541567696,0.010287953442557016,0.0008519261757762172,0.0006406149903907751,5.925925925925926,6.0,0.0008715824677892728,0.00015719105250671983,0.0,0,6,2,2,14.0,0.14285714285714285,190.0,197.0,210.0,214.0,157.0,160.0,218.0,220.0,2,0.89,6.0,12,5.36,9.083333333333334,74,33.04,12.81081081081081
Standard Oil Company (California),org,Corporation,non-financial,industrial,NF-040,10,10,1,0.030303030303030304,0.24216216216216216,0.009043246963980713,0.0,0.0,7.0,7.0,0.0006341925549551349,8.160148399702912e-05,0.0,0,6,1,1,10.0,0.1,203.0,218.0,222.0,222.0,193.0,178.0,220.0,223.0,1,0.45,7.0,7,3.12,8.285714285714286,36,16.07,15.277777777777779
Standard Oil Company (Indiana),org,Corporation,non-financial,industrial,NF-026,11,11,1,0.029411764705882353,0.2782608695652174,0.010296243545558742,0.0,0.0,18.0,18.0,0.0032274265282116943,0.000633225867399556,0.0,0,5,1,1,11.0,0.09090909090909091,203.0,220.0,208.0,213.0,193.0,178.0,206.0,209.0,1,0.45,18.0,18,8.04,13.555555555555555,93,41.52,15.387096774193548
