node,node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Rogers / James E.,person,,,,,,,False,True,True,3,2.0,20,4.361111111111112,0.3612261806130903,0.08811641067097817,0.012571895359264305,0.00739618203395489,20.98216560509554,22.5,0.17380176401062797,0.15749972434868859,0.6526315789473685,124,6,41,16,6.666666666666667,29.0,60.0,20.0,107.0,38.0,133.0,14.0,16.0,20,4.59,22.5,155,35.55,13.858064516129032,371,85.09,11.44743935309973
Rogers / John W. Jr.,person,,,,,,,False,False,False,3,3.0,17,4.3,0.3263473053892216,0.08145726296123307,0.012796287642462337,0.005990460791156774,11.810077519379846,12.352941176470589,0.012180668510597637,0.011533821175469052,0.35294117647058826,48,6,25,7,5.666666666666667,51.0,61.0,100.0,252.0,37.0,192.0,208.0,225.0,17,3.9,12.352941176470589,97,22.25,12.556701030927835,309,70.87,12.01294498381877
Romrell / Larry E.,person,,,,,,,False,False,False,2,2.0,3,2.0,0.2321618743343983,0.06534445721137033,0.0,0.0,5.5,6.333333333333333,0.0004404536005830038,0.0007818729369486725,1.0,3,7,4,3,1.5,413.0,336.0,414.0,425.0,411.0,410.0,408.0,412.0,3,0.69,6.333333333333333,13,2.98,9.538461538461538,63,14.45,11.904761904761905
Rose / Matthew K.,person,,,,,,,False,False,False,3,3.0,19,4.466666666666667,0.33877233877233875,0.0891524384009815,0.01721225290026235,0.012270424602756135,11.690298507462687,11.947368421052632,0.015178926358054274,0.015733547871075847,0.2982456140350877,51,6,24,7,6.333333333333333,36.0,54.0,67.0,88.0,24.0,32.0,172.0,176.0,19,4.36,11.947368421052632,118,27.06,12.415254237288135,334,76.61,11.862275449101796
Rossotti / Charles O.,person,,,,,,,True,False,True,2,2.0,10,3.1166666666666667,0.3002754820936639,0.08495989087720436,0.0035526558757586844,0.009668983107768299,11.27807486631016,11.8,0.009224727784465224,0.010322362225161525,0.4888888888888889,22,7,23,7,5.0,177.0,173.0,236.0,172.0,229.0,77.0,241.0,243.0,10,2.29,11.8,65,14.91,12.63076923076923,259,59.4,12.274131274131275
Rowe / John W.,person,,,,,,,False,False,False,4,4.0,18,3.7428571428571433,0.33877233877233875,0.08120692866455578,0.022101394137386335,0.007283689777362668,10.199745547073789,10.833333333333334,0.009249628060803679,0.006510084514191267,0.24836601307189543,38,5,23,7,4.5,42.0,105.0,67.0,256.0,11.0,141.0,240.0,294.0,18,4.13,10.833333333333334,110,25.23,12.163636363636364,340,77.98,11.702941176470588
Royal / Frank S.,person,,,,,,,True,False,False,3,3.0,7,1.75,0.2334047109207709,0.06621108580106302,0.00860726858851519,0.007200190315501925,4.714285714285714,4.714285714285714,0.00027143220110229074,0.0004901326708775782,0.3333333333333333,7,6,7,4,2.3333333333333335,298.0,357.0,413.0,420.0,76.0,145.0,422.0,421.0,7,1.61,4.714285714285714,18,4.13,6.0,57,13.07,9.982456140350877
Rubenstein / David M.,person,,,,,,,False,True,False,2,,26,7.969047619047616,0.3745704467353952,0.10345236682880532,0.00442408313817429,0.019132679101043534,23.176277263220804,23.46153846153846,0.22716936814623692,0.3019235889752869,0.5723076923076923,186,6,41,16,13.0,8.0,2.0,5.0,1.0,197.0,1.0,3.0,1.0,26,5.96,23.46153846153846,182,41.74,13.796703296703297,381,87.39,11.26509186351706
Russo / Patricia F.,person,,,,,,,False,False,False,3,3.0,14,3.1095238095238096,0.3353846153846154,0.08677480346303115,0.007718980754460088,0.005924072529577118,13.706738131699847,14.285714285714286,0.039461435995154025,0.03590538323899571,0.2967032967032967,27,6,24,7,4.666666666666667,81.0,176.0,73.0,126.0,86.0,194.0,64.0,70.0,14,3.21,14.285714285714286,116,26.61,15.206896551724139,332,76.15,11.810240963855422
Rust / Edward B. Jr.,person,,,,,,,False,False,False,2,2.0,13,3.8333333333333335,0.3261032161555722,0.09065391412828776,0.0032883046401853,0.007760328122555263,14.195652173913043,14.692307692307692,0.026513619075075996,0.035235341781953464,0.5384615384615384,42,6,36,9,6.5,94.0,93.0,101.0,65.0,239.0,116.0,103.0,72.0,13,2.98,14.692307692307692,94,21.56,14.712765957446809,315,72.25,12.034920634920635
Ryan / Robert L.,person,,,,,,,True,False,False,3,3.0,11,2.5166666666666666,0.2968005445881552,0.07451929924512177,0.006202259904172014,0.0027532560354452166,10.198675496688741,10.818181818181818,0.01576014258787614,0.009130550730231673,0.32727272727272727,18,6,19,6,3.6666666666666665,139.0,281.0,255.0,370.0,113.0,345.0,167.0,257.0,11,2.52,10.818181818181818,62,14.22,13.64516129032258,246,56.42,12.75609756097561
Ryan / Thomas M.,person,,,,,,,False,False,False,2,2.0,7,3.0000000000000004,0.2802056555269923,0.08085303662494205,0.0011041273720868432,0.0035077690479462056,8.333333333333332,8.714285714285714,0.005030183146123115,0.008268027183052858,0.6190476190476191,13,7,17,6,3.5,298.0,186.0,320.0,269.0,367.0,306.0,290.0,266.0,7,1.61,8.714285714285714,32,7.34,14.5,196,44.95,13.428571428571429
Ryan / William J.,person,,,,,,,False,False,False,2,2.0,5,1.5833333333333333,0.2688039457459926,0.07239518472395184,0.009193632644639078,0.008101661833075934,7.157894736842104,7.8,0.0038644307189177117,0.0037541233012031833,0.4,4,6,6,4,2.5,364.0,380.0,368.0,393.0,66.0,109.0,316.0,347.0,5,1.15,7.8,31,7.11,13.580645161290322,150,34.4,13.18
Salerno / Frederic V.,person,,,,,,,False,False,False,2,2.0,6,3.333333333333333,0.2587537091988131,0.07470230446329136,0.00022388194912258694,0.0007697323942183172,7.4,8.333333333333334,0.002017957840824349,0.004677081453882202,0.8,12,8,15,5,3.0,336.0,145.0,383.0,367.0,405.0,398.0,373.0,322.0,6,1.38,8.333333333333334,25,5.73,11.76,131,30.05,14.106870229007633
Sandberg / Sheryl K.,person,,,,,,,False,False,True,2,2.0,9,2.9166666666666665,0.2976109215017065,0.08564973971122679,0.005015881741988738,0.006716609839830341,10.8,11.333333333333334,0.018694920503250948,0.023883870354315283,0.5,18,7,17,6,4.5,217.0,206.0,252.0,158.0,150.0,168.0,146.0,121.0,9,2.06,11.333333333333334,61,13.99,15.967213114754099,243,55.73,12.905349794238683
Sanger / Stephen W.,person,,,,,,,True,False,False,3,3.0,19,4.716666666666667,0.3424980361351139,0.09283508996060896,0.011180033477964403,0.0075457506745073965,14.120141342756185,14.368421052631579,0.04441110291458788,0.045209673525138314,0.34502923976608185,59,6,29,8,6.333333333333333,36.0,40.0,60.0,41.0,49.0,124.0,59.0,48.0,19,4.36,14.368421052631579,120,27.52,13.9,342,78.44,11.687134502923977
Sargent / Ronald L.,person,,,,,,,False,False,False,2,2.0,8,2.6666666666666665,0.28440965427266796,0.0855908912446015,0.0035772054758838744,0.006231016572680605,9.25,9.25,0.003392316288797674,0.007078394001480459,0.5714285714285714,16,6,17,6,4.0,258.0,254.0,304.0,159.0,228.0,184.0,328.0,284.0,8,1.83,9.25,41,9.4,11.317073170731707,198,45.41,12.873737373737374
Sarin / Arun,person,,,,,,,False,False,False,2,2.0,5,1.6666666666666665,0.2593694229625223,0.07753178625411221,0.002348857086799901,0.0053733426344941704,6.799999999999999,6.8,0.0016809607446719404,0.00333343389623851,0.4,4,7,10,4,2.5,364.0,368.0,381.0,328.0,297.0,215.0,383.0,356.0,5,1.15,6.8,26,5.96,10.884615384615385,125,28.67,13.528
Satcher / David,person,,,,,,,False,False,True,2,2.0,11,3.666666666666667,0.3127690100430416,0.09680642415719941,0.005700720640641209,0.014720317586499164,11.727272727272725,11.727272727272727,0.014211517161173016,0.027512971189319797,0.45454545454545453,25,5,25,7,5.5,139.0,110.0,163.0,8.0,126.0,16.0,185.0,96.0,11,2.52,11.727272727272727,74,16.97,14.824324324324325,278,63.76,12.582733812949641
Schaeffer / Leonard D.,person,,,,,,,False,True,False,2,1.0,21,5.774999999999999,0.35973597359735976,0.09507195813344962,0.00964544332008804,0.013966439228223479,21.008658008658013,22.571428571428573,0.17742537081989618,0.2026159505312891,0.6238095238095238,131,6,41,16,10.5,22.0,11.0,25.0,21.0,61.0,19.0,10.0,5.0,21,4.82,22.571428571428573,151,34.63,14.092715231788079,367,84.17,11.46866485013624
Schiro / James J.,person,,,,,,,True,False,False,2,2.0,12,3.833333333333334,0.31142857142857144,0.09193463363205061,0.004446180743800474,0.011602505693774285,12.152173913043477,12.5,0.02097768119000252,0.03162433002340387,0.48484848484848486,32,6,23,7,6.0,112.0,92.0,172.0,51.0,194.0,42.0,132.0,85.0,12,2.75,12.5,72,16.51,13.847222222222221,287,65.83,12.289198606271777
Schmidt / Eric,person,,,,,,,False,False,True,2,2.0,5,1.4999999999999998,0.27165109034267915,0.07827882342380084,0.002178796204660982,0.0034196372364673545,9.055555555555555,9.6,0.004585472817009856,0.005955247277607861,0.4,4,7,9,4,2.5,364.0,390.0,359.0,314.0,309.0,311.0,301.0,297.0,5,1.15,9.6,39,8.94,12.538461538461538,173,39.68,13.404624277456648
Schofield / Seth E.,person,,,,,,,False,False,False,2,2.0,9,2.7416666666666667,0.3288084464555053,0.08586339317950568,0.0016037383135532792,0.007441575027781922,15.784194528875378,18.11111111111111,0.026661071037030734,0.013676830668357488,0.6388888888888888,23,6,24,7,4.5,217.0,246.0,95.0,152.0,343.0,129.0,100.0,196.0,9,2.06,18.11111111111111,102,23.39,15.088235294117647,327,75.0,11.871559633027523
Schwab / Susan C.,person,,,,,,,False,False,True,3,3.0,21,4.927777777777779,0.35973597359735976,0.0924316302734789,0.01035036113309332,0.009979123042235983,16.1815107102593,17.333333333333332,0.06769488216620176,0.046362735007986565,0.36666666666666664,77,5,36,9,7.0,22.0,33.0,25.0,44.0,53.0,64.0,34.0,46.0,21,4.82,17.333333333333332,146,33.49,14.047945205479452,367,84.17,11.384196185286104
Schwieters / John T.,person,,,,,,,False,False,False,2,2.0,1,0.25,0.18931828050369084,0.05237237237237237,0.0,0.0,7.0,7.0,1.4675832430015161e-05,2.7455319990877637e-05,0.0,0,7,1,1,0.5,435.0,437.0,436.0,436.0,411.0,410.0,436.0,436.0,1,0.23,7.0,7,1.61,5.571428571428571,18,4.13,6.333333333333333
Scott / H. Lee Jr.,person,,,,,,,True,False,False,2,2.0,10,3.0333333333333337,0.31209735146743023,0.08928022934370841,0.0036530930543433072,0.009874476994059404,12.115384615384613,12.6,0.01364112098633597,0.021349719014715968,0.4666666666666667,21,6,21,7,5.0,177.0,183.0,168.0,83.0,227.0,67.0,188.0,132.0,10,2.29,12.6,71,16.28,14.267605633802816,284,65.14,12.29225352112676
Scott / Samuel C. III,person,,,,,,,True,False,False,2,2.0,16,4.95,0.3212969786293294,0.09147172978076157,0.01119592347426687,0.01890929374795239,13.161616161616159,13.5625,0.012380723929540212,0.01496616987267054,0.4666666666666667,56,6,29,8,8.0,64.0,32.0,123.0,60.0,48.0,2.0,204.0,183.0,16,3.67,13.5625,83,19.04,12.91566265060241,308,70.64,12.006493506493506
Scott / Walter Jr.,person,,,,,,,False,False,False,2,2.0,11,3.5000000000000004,0.2778840025493945,0.08197800131616056,0.003730952577923431,0.0064792498033561016,10.285714285714285,10.363636363636363,0.006947801163987284,0.015230807777384255,0.5636363636363636,31,7,28,8,5.5,139.0,122.0,334.0,239.0,222.0,176.0,268.0,180.0,11,2.52,10.363636363636363,42,9.63,11.857142857142858,192,44.04,13.161458333333334
Seaton / David T.,person,,,,,,,False,False,False,2,2.0,4,1.2499999999999998,0.25014343086632246,0.07361134560189093,0.0,0.0,9.4,9.5,0.0008694905009124281,0.0011257072114668344,1.0,6,8,6,4,2.0,400.0,410.0,397.0,376.0,411.0,410.0,401.0,408.0,4,0.92,9.5,25,5.73,10.68,110,25.23,11.381818181818181
Seifert / Kathi P.,person,,,,,,,False,False,False,2,2.0,8,2.45,0.30362116991643456,0.08609794628751975,0.002917866169099392,0.0038885887391107276,11.809523809523807,12.375,0.016605091410098156,0.02287555706795853,0.5714285714285714,16,7,19,6,4.0,258.0,286.0,216.0,145.0,262.0,286.0,160.0,126.0,8,1.83,12.375,65,14.91,16.16923076923077,267,61.24,12.838951310861423
