node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,False,False,False,2,21,5.599999999999999,0.38680781758957655,0.09256552664912791,0.0032690866527508686,0.011525592548008973,25.154761904761912,26.80952380952381,0.02439999350082671,0.02945813445491301,0.49047619047619045,103,4,49,14,10.5,170.0,159.0,162.0,46.0,160.0,36.0,190.0,160.0,21,4.42,26.80952380952381,204,42.95,27.705882352941178,447,94.11,20.532438478747203
person,person,,,,False,False,False,3,12,4.949999999999999,0.3106605624591236,0.06934812760055478,0.0008297007306144203,0.0018272262935820568,12.164983164983166,13.083333333333334,0.0021739003659229884,0.002412409787544363,0.6515151515151515,43,5,20,8,4.0,331.0,204.0,429.0,438.0,317.0,354.0,427.0,421.0,12,2.53,13.083333333333334,49,10.32,20.346938775510203,314,66.11,22.780254777070063
person,person,,,,True,False,False,3,29,5.763888888888889,0.41161178509532065,0.09076288594130666,0.005599235717816439,0.007607707528936514,31.093425129087773,33.03448275862069,0.057912202137107224,0.04606801979752473,0.45566502463054187,185,4,56,15,9.666666666666666,78.0,150.0,70.0,79.0,94.0,98.0,77.0,117.0,29,6.11,33.03448275862069,257,54.11,25.132295719844358,460,96.84,20.17391304347826
person,person,,,,False,False,False,2,7,3.15,0.2885783718104496,0.06940385739333722,0.00012662527380461359,0.0027547681055342605,9.814814814814815,10.285714285714286,0.0013034891933623725,0.0017396496983646443,0.8095238095238095,17,5,10,6,3.5,427.0,360.0,463.0,436.0,424.0,301.0,455.0,442.0,7,1.47,10.285714285714286,34,7.16,20.294117647058822,238,50.11,24.016806722689076
person,person,,,,True,False,False,3,27,6.088492063492064,0.3919141914191419,0.09294134911705719,0.0005740732195839658,0.0031809305260337905,33.5569966760086,35.0,0.06829352242105564,0.06957124090852251,0.7150997150997151,251,4,71,22,9.0,92.0,125.0,145.0,40.0,349.0,272.0,64.0,78.0,27,5.68,35.0,211,44.42,27.09004739336493,450,94.74,20.473333333333333
person,person,,,,False,False,False,3,15,3.85,0.34172661870503596,0.08089925913310056,0.0004109575087232925,0.0016962169505963835,23.238095238095237,23.933333333333334,0.013472445993879648,0.01888614417551958,0.6857142857142857,72,5,45,13,5.0,278.0,304.0,334.0,269.0,379.0,360.0,283.0,233.0,15,3.16,23.933333333333334,124,26.11,29.008064516129032,374,78.74,22.3475935828877
person,person,,,,True,False,False,2,16,4.425,0.35876132930513593,0.08195778455167653,0.0030372999469141975,0.006696912487346316,15.593220338983052,18.0,0.011575182532071918,0.009237726340404347,0.475,57,4,26,9,8.0,254.0,243.0,274.0,240.0,165.0,113.0,311.0,322.0,16,3.37,18.0,131,27.58,26.984732824427482,429,90.32,21.151515151515152
person,person,,,,True,False,True,2,15,4.366666666666666,0.36314984709480125,0.09214652914740211,0.000997675673046749,0.005939788474020557,19.69083969465649,21.4,0.016107670106170115,0.015730956770104054,0.5238095238095238,55,4,33,11,7.5,278.0,253.0,255.0,54.0,300.0,139.0,251.0,255.0,15,3.16,21.4,147,30.95,28.17687074829932,430,90.53,20.913953488372094
person,person,,,,False,False,False,2,27,6.202380952380953,0.42410714285714285,0.09665276223420491,0.002730963587782732,0.010907023146313246,38.64184261036468,40.2962962962963,0.08195850300476969,0.07936553367811709,0.5811965811965812,204,4,63,18,13.5,92.0,111.0,51.0,13.0,173.0,44.0,54.0,44.0,27,5.68,40.2962962962963,283,59.58,24.901060070671377,470,98.95,19.94468085106383
person,person,,,,False,False,False,2,13,3.876190476190476,0.37109375,0.09459010952538999,0.00076916972458997,0.010092537191138123,23.853194103194106,25.46153846153846,0.015063005477156445,0.01824031606193697,0.6025641025641025,47,5,29,10,6.5,310.0,301.0,223.0,24.0,322.0,58.0,261.0,241.0,13,2.74,25.46153846153846,182,38.32,25.12087912087912,427,89.89,21.021077283372364
person,person,,,,True,False,False,3,25,5.38015873015873,0.4052901023890785,0.08971997922274165,0.0021548995272052734,0.0035387306699765095,29.02979790529577,30.04,0.04422592705612152,0.03590101278634973,0.43,129,4,53,15,8.333333333333334,116.0,172.0,93.0,94.0,197.0,254.0,99.0,139.0,25,5.26,30.04,240,50.53,25.958333333333332,463,97.47,20.153347732181427
person,person,,,,False,False,False,2,9,2.7833333333333337,0.31986531986531985,0.07310879101146649,0.0008870899921122546,0.007958669208502656,13.868263473053892,14.777777777777779,0.005064659947723994,0.003066571296087446,0.6666666666666666,24,5,15,7,4.5,387.0,389.0,412.0,411.0,309.0,90.0,378.0,409.0,9,1.89,14.777777777777779,70,14.74,24.771428571428572,339,71.37,22.530973451327434
person,person,,,,True,False,False,2,22,6.185714285714285,0.3994953742640875,0.08610480011601487,0.0024146753894230258,0.005241235635206014,24.63337182448037,29.818181818181817,0.03508488140869657,0.023615609165754965,0.5627705627705628,130,4,50,14,11.0,154.0,113.0,114.0,169.0,183.0,162.0,128.0,193.0,22,4.63,29.818181818181817,227,47.79,25.969162995594715,462,97.26,20.16883116883117
person,person,,,,True,False,False,3,25,5.511904761904763,0.4052901023890785,0.08835675045573486,0.003547030992953214,0.006407350086857865,26.619870410367167,26.92,0.03318930878842479,0.02374913449969033,0.43666666666666665,131,4,51,15,8.333333333333334,116.0,164.0,93.0,121.0,149.0,119.0,137.0,190.0,25,5.26,26.92,244,51.37,24.192622950819672,459,96.63,20.198257080610023
person,person,,,,False,False,False,2,8,1.8444444444444446,0.32623626373626374,0.06989405532666274,0.00013316564782702347,0.00048357179869504984,19.219879518072286,22.0,0.005224729656080544,0.0021190766743247823,0.6785714285714286,19,5,18,8,4.0,411.0,440.0,392.0,434.0,423.0,430.0,375.0,427.0,8,1.68,22.0,89,18.74,24.303370786516854,351,73.89,22.415954415954417
person,person,,,,True,False,False,2,13,3.6000000000000005,0.3335674157303371,0.07762917767548279,0.0004634963091097689,0.0036410794278882237,17.44907407407407,18.846153846153847,0.0052925926524126305,0.00365153457639486,0.7307692307692307,57,4,34,11,6.5,310.0,322.0,366.0,342.0,367.0,245.0,374.0,388.0,13,2.74,18.846153846153847,85,17.89,22.71764705882353,378,79.58,22.055555555555557
person,person,,,,True,False,False,2,17,4.8428571428571425,0.37401574803149606,0.09188361408882083,0.0036964131389860457,0.013419040469953899,18.527531956735498,21.0,0.013678552253146323,0.013002869083897585,0.47058823529411764,64,5,28,9,8.5,227.0,207.0,216.0,56.0,142.0,18.0,277.0,282.0,17,3.58,21.0,182,38.32,24.302197802197803,433,91.16,20.886836027713628
person,person,,,,True,False,False,2,16,5.95,0.34050179211469533,0.08126951537704778,0.00011772465046288774,0.00101957502349398,22.190476190476193,25.5,0.009789687424390233,0.021330283472363435,0.925,111,5,51,15,8.0,254.0,135.0,341.0,262.0,427.0,398.0,328.0,218.0,16,3.37,25.5,105,22.11,23.276190476190475,389,81.89,21.838046272493575
person,person,,,,False,False,False,2,22,6.783333333333332,0.35315985130111527,0.09031562935733299,0.0005369724288644759,0.0036532139595587504,25.552825552825553,25.454545454545453,0.020806946896021007,0.03672902881521204,0.6060606060606061,140,5,50,14,11.0,154.0,89.0,296.0,86.0,354.0,244.0,214.0,136.0,22,4.63,25.454545454545453,141,29.68,28.26950354609929,393,82.74,21.75826972010178
person,person,,,,False,False,False,2,5,1.3666666666666665,0.32894736842105265,0.07356357441536317,0.0001865525439055893,0.001643644977422459,18.09756097560976,20.2,0.005683492845269476,0.00400434593383363,0.6,6,5,7,5,2.5,445.0,452.0,381.0,401.0,414.0,368.0,366.0,383.0,5,1.05,20.2,73,15.37,30.589041095890412,379,79.79,22.013192612137203
person,person,,,,True,False,True,3,13,2.719047619047619,0.3642638036809816,0.07728813559322036,0.0031220585188895082,0.00399217805413675,21.289842381786336,23.615384615384617,0.017255760269687077,0.012178082365759721,0.6153846153846154,48,4,29,10,4.333333333333333,310.0,392.0,250.0,352.0,162.0,226.0,243.0,289.0,13,2.74,23.615384615384617,143,30.11,26.916083916083917,440,92.63,20.71590909090909
person,person,,,,False,False,False,2,10,4.533333333333332,0.29987373737373735,0.07169360417583799,0.00036649407016789843,0.0,12.941176470588236,13.5,0.0017798695889040825,0.0024385323441947606,0.8,36,5,19,8,5.0,372.0,238.0,450.0,424.0,388.0,450.0,442.0,420.0,10,2.11,13.5,45,9.47,19.977777777777778,273,57.47,23.073260073260073
person,person,,,,False,False,False,2,4,1.25,0.2797408716136631,0.06524725274725275,0.00045191265415251536,0.002378400290458918,5.7333333333333325,6.0,0.0005181347588285169,0.00041731244058142804,0.3333333333333333,2,5,3,3,2.0,458.0,456.0,469.0,464.0,373.0,322.0,472.0,472.0,4,0.84,6.0,20,4.21,19.45,210,44.21,24.642857142857142
person,person,,,,False,False,False,2,9,2.4000000000000004,0.3312412831241283,0.0784691629955947,0.0006147855652212821,0.003051115834593516,15.562499999999995,16.555555555555557,0.004157908183684454,0.003470287162420697,0.6111111111111112,22,5,18,8,4.5,387.0,407.0,375.0,325.0,343.0,280.0,395.0,393.0,9,1.89,16.555555555555557,89,18.74,22.56179775280899,370,77.89,21.90810810810811
person,person,,,,False,False,False,2,14,3.416666666666667,0.38586515028432167,0.08773820152079548,0.0016813011023226188,0.005802010977893723,23.014634146341464,25.928571428571427,0.019535410860812546,0.01293168801210615,0.4835164835164835,44,5,34,11,7.0,294.0,332.0,168.0,136.0,239.0,148.0,229.0,283.0,14,2.95,25.928571428571427,197,41.47,25.86294416243655,459,96.63,20.239651416122005
person,person,,,,False,False,False,3,17,4.283333333333333,0.36510376633358954,0.08163382218148489,0.005821747005353856,0.008080188324025768,15.019455252918291,16.764705882352942,0.00891565179366526,0.009684533395312831,0.36764705882352944,50,5,24,9,5.666666666666667,227.0,264.0,243.0,250.0,88.0,89.0,338.0,312.0,17,3.58,16.764705882352942,137,28.84,23.525547445255473,446,93.89,20.531390134529147
person,person,,,,True,False,True,3,18,7.090079365079366,0.3784860557768924,0.08447047386453903,0.0008762977898610193,0.0035632752767995944,22.979851122180555,30.055555555555557,0.03314719905090058,0.1282424827992329,0.7973856209150327,122,4,51,15,6.0,206.0,73.0,188.0,194.0,312.0,252.0,138.0,13.0,18,3.79,30.055555555555557,175,36.84,28.44,452,95.16,20.446902654867255
person,person,,,,True,False,False,2,16,4.386111111111111,0.3515914137675796,0.07783270065816424,0.0005791086517908267,0.00489808590008458,19.46105129829006,22.625,0.010371862832836459,0.005153037812272573,0.6416666666666667,77,4,35,11,8.0,254.0,247.0,302.0,339.0,347.0,184.0,323.0,370.0,16,3.37,22.625,123,25.89,25.211382113821138,410,86.32,21.514634146341464
person,person,,,,True,False,False,2,5,1.9,0.30904359141184123,0.060079684634357144,0.00040890071570128775,0.0005874320118157561,10.631578947368421,17.0,0.004404984729236249,0.002098147031349033,0.8,8,5,5,4,2.5,445.0,436.0,433.0,471.0,380.0,423.0,389.0,429.0,5,1.05,17.0,54,11.37,27.814814814814813,307,64.63,23.65798045602606
person,person,,,,True,False,False,3,22,8.14563492063492,0.34370477568740954,0.07562088728507743,0.00021294035753719254,0.0010547423039796561,23.778340721975933,26.954545454545453,0.030423225983988236,0.081365734374054,0.7878787878787878,182,5,62,18,7.333333333333333,154.0,32.0,323.0,376.0,408.0,393.0,158.0,38.0,22,4.63,26.954545454545453,102,21.47,27.568627450980394,395,83.16,21.445569620253163
person,person,,,,True,False,False,2,23,6.109523809523809,0.38492706645056723,0.09489087549318284,0.0009561554579328868,0.0030085195235095325,32.846453624318,35.17391304347826,0.05721980479272862,0.06952081164760408,0.9130434782608695,231,4,70,22,11.5,140.0,123.0,175.0,21.0,302.0,287.0,80.0,79.0,23,4.84,35.17391304347826,198,41.68,27.151515151515152,445,93.68,20.651685393258425
person,person,,,,True,False,False,2,16,4.95,0.31815137307434693,0.08225108225108224,0.0033434043919633107,0.010500425642164487,12.525252525252522,12.875,0.002076887819978533,0.0034623383579951506,0.4666666666666667,56,5,25,9,8.0,254.0,203.0,418.0,233.0,157.0,52.0,430.0,394.0,16,3.37,12.875,62,13.05,17.79032258064516,331,69.68,22.453172205438065
person,person,,,,True,False,False,4,39,7.277020202020204,0.43738489871086556,0.0878585631271483,0.006014596437154047,0.0014871168508743462,31.216752016418866,32.97435897435897,0.08499448533973215,0.06944967060367561,0.41025641025641024,304,4,71,22,9.75,41.0,62.0,30.0,133.0,86.0,372.0,45.0,80.0,39,8.21,32.97435897435897,306,64.42,24.519607843137255,469,98.74,19.95309168443497
person,person,,,,False,False,False,2,13,3.3444444444444446,0.35527299925205685,0.08628911394704573,0.00043505909253291705,0.001994891851674911,23.09136212624585,24.692307692307693,0.014111264956905751,0.024022379804285447,0.6282051282051282,49,5,32,10,6.5,310.0,342.0,292.0,166.0,375.0,340.0,273.0,188.0,13,2.74,24.692307692307693,138,29.05,29.884057971014492,415,87.37,21.575903614457832
person,person,,,,False,False,False,3,17,4.5095238095238095,0.37788385043754974,0.08337721607863786,0.005463322403494345,0.005894923986862692,16.515311510031676,19.88235294117647,0.01415159891181882,0.010764958220712405,0.3897058823529412,53,5,26,9,5.666666666666667,227.0,239.0,192.0,217.0,97.0,140.0,272.0,302.0,17,3.58,19.88235294117647,172,36.21,26.273255813953487,455,95.79,20.39120879120879
person,person,,,,False,False,False,2,9,2.533333333333333,0.33031988873435325,0.07782419922995001,0.0012041119804082705,0.00474086723970135,12.302631578947368,13.333333333333334,0.001963912964049381,0.0017363685533158494,0.5,18,5,15,7,4.5,387.0,401.0,376.0,341.0,282.0,190.0,437.0,444.0,9,1.89,13.333333333333334,70,14.74,19.214285714285715,384,80.84,21.552083333333332
person,person,,,,False,False,False,2,20,5.016666666666667,0.38555194805194803,0.0912029184933918,0.002047023706136041,0.008893237638074413,25.176079734219275,27.7,0.030777114130743275,0.02204411494603118,0.5,95,4,42,12,10.0,181.0,197.0,170.0,70.0,205.0,76.0,156.0,213.0,20,4.21,27.7,197,41.47,25.85279187817259,451,94.95,20.481152993348115
person,person,,,,True,False,False,5,34,5.209126984126985,0.4222222222222222,0.08121972071815328,0.014090553656912455,0.004364784868449093,21.673954445036944,22.08823529411765,0.0361127135246883,0.01984719812075899,0.25133689839572193,141,4,45,13,6.8,52.0,185.0,52.0,265.0,30.0,204.0,122.0,227.0,34,7.16,22.08823529411765,277,58.32,24.097472924187727,464,97.68,20.09698275862069
person,person,,,,True,False,False,3,25,5.2785714285714285,0.3958333333333333,0.0891767577208298,0.009309743841276955,0.019497632389571102,21.366260712674787,23.08,0.022326774948000585,0.016144566187361795,0.3433333333333333,103,4,46,13,8.333333333333334,116.0,182.0,133.0,107.0,48.0,2.0,204.0,252.0,25,5.26,23.08,218,45.89,25.105504587155963,457,96.21,20.27571115973742
person,person,,,,False,False,False,2,9,4.166666666666667,0.32094594594594594,0.079297507554131,0.0004632504305629352,0.0016784985808969823,11.34,13.0,0.002427842831129458,0.003943447669727411,0.6666666666666666,24,5,18,8,4.5,387.0,272.0,405.0,304.0,368.0,363.0,420.0,385.0,9,1.89,13.0,66,13.89,21.606060606060606,348,73.26,22.666666666666668
person,person,,,,False,False,False,2,3,1.5333333333333332,0.2799057159693577,0.060018953353690604,0.0,0.0,6.913043478260871,11.666666666666666,0.0012127215849844432,0.0006953251733609198,1.0,3,5,3,3,1.5,469.0,448.0,467.0,473.0,446.0,450.0,461.0,468.0,3,0.63,11.666666666666666,23,4.84,24.652173913043477,200,42.11,25.705
person,person,,,,False,False,False,2,8,2.3666666666666667,0.31025473546701504,0.07692307692307694,0.0,0.0,14.154929577464788,14.625,0.0017236485987143842,0.002443264312441334,1.0,28,6,18,8,4.0,411.0,409.0,432.0,360.0,446.0,450.0,444.0,419.0,8,1.68,14.625,49,10.32,19.653061224489797,317,66.74,22.697160883280755
