node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,ppg_bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,False,False,True,2,2,2.0,7,1.9999999999999998,0.2710843373493976,0.06298912006108034,0.0,0.0,12.125000000000002,12.285714285714286,0.0005870852518205998,0.0007826611326066861,1.0,21,6,12,7,3.5,446.0,451.0,491.0,488.0,465.0,469.0,491.0,488.0,7,1.41,12.285714285714286,26,5.25,15.692307692307692,163,32.93,23.552147239263803
person,person,,,,True,False,False,2,2,2.0,19,5.4,0.3610503282275711,0.0895454888068139,0.005291210617942234,0.0129511580043728,19.046296296296294,20.473684210526315,0.014023057869541639,0.013852597250096476,0.5497076023391813,94,4,39,13,9.5,204.0,179.0,283.0,99.0,97.0,16.0,284.0,289.0,19,3.84,20.473684210526315,149,30.1,25.85234899328859,441,89.09,21.41950113378685
person,person,,,,True,False,False,2,2,2.0,19,4.991666666666666,0.35534816941852115,0.08007117437722419,0.0004513692583962794,0.0027069126908250913,26.37729549248748,28.842105263157894,0.028003696776629776,0.06054882257719277,0.8070175438596491,138,4,62,18,9.5,204.0,208.0,308.0,306.0,383.0,312.0,175.0,93.0,19,3.84,28.842105263157894,135,27.27,30.45925925925926,433,87.47,21.46651270207852
person,person,,,,True,False,False,4,4,4.0,21,6.426190476190476,0.3485915492957746,0.07461186755765463,0.0028765305485247313,0.003155203620790665,19.829566506113377,20.571428571428573,0.01131111061553241,0.08875911506582433,0.6190476190476191,130,5,60,16,5.25,180.0,100.0,331.0,409.0,174.0,284.0,323.0,36.0,21,4.24,20.571428571428573,112,22.63,27.267857142857142,428,86.46,21.628504672897197
person,person,,,,True,True,True,4,4,3.0,25,4.324603174603175,0.3950518754988029,0.07888446215139443,0.0035748218934599013,0.002356798292879756,21.521013029913743,23.28,0.03016734466591601,0.047311576059979425,0.32,96,4,46,14,6.25,128.0,263.0,139.0,335.0,146.0,329.0,163.0,120.0,25,5.05,23.28,219,44.24,27.01826484018265,483,97.58,20.459627329192546
person,person,,,,True,True,False,5,5,3.0,61,10.848484848484844,0.4647887323943662,0.09391749806314922,0.012251323089368436,0.004642069581340837,39.0250299281724,37.885245901639344,0.17699937356361492,0.12238690850281854,0.36010928961748634,659,4,69,22,12.2,5.0,3.0,4.0,24.0,36.0,192.0,2.0,15.0,61,12.32,37.885245901639344,361,72.93,23.185595567867036,493,99.6,20.07505070993915
person,person,,,,False,False,False,2,2,2.0,2,0.45,0.29963680387409203,0.06455455185664978,0.0,0.0,25.555555555555554,26.0,0.0016836207324370015,0.0020073243793875045,1.0,1,5,2,2,1.0,493.0,495.0,473.0,486.0,465.0,469.0,464.0,458.0,2,0.4,26.0,48,9.7,28.416666666666668,294,59.39,24.965986394557824
person,person,,,,True,False,True,9,9,9.0,51,5.09259213009213,0.4315605928509154,0.06649948502082306,0.028316183657465188,0.00025082130345288237,22.42447292929552,24.607843137254903,0.06303694247120331,0.023238240704455192,0.1992156862745098,254,4,57,15,5.666666666666667,20.0,197.0,37.0,480.0,5.0,460.0,72.0,216.0,51,10.3,24.607843137254903,297,60.0,24.060606060606062,485,97.98,20.311340206185566
person,person,,,,True,False,True,3,3,3.0,27,5.485317460317462,0.4125,0.09116581742280065,0.0049488952307838955,0.009090978315613332,27.615278883021045,30.62962962962963,0.04282134907424429,0.03085891062183246,0.4131054131054131,145,4,54,15,9.0,101.0,173.0,79.0,66.0,108.0,64.0,105.0,160.0,27,5.45,30.62962962962963,269,54.34,24.98884758364312,484,97.78,20.44214876033058
person,person,,,,False,False,False,2,2,2.0,5,1.1444444444444444,0.32803180914512925,0.06856383015561911,9.306952484115753e-05,0.000762531815163394,17.796116504854368,23.0,0.004132313525205482,0.0018492150597954743,0.6,6,4,7,5,2.5,466.0,484.0,404.0,468.0,452.0,425.0,413.0,464.0,5,1.01,23.0,82,16.57,26.524390243902438,384,77.58,22.9140625
person,person,,,,False,False,False,4,4,4.0,22,3.8273809523809534,0.4084158415841584,0.08263543028852842,0.004755871834988504,0.0017898995091977549,25.569828926905128,27.818181818181817,0.030296504520896467,0.017186063968121494,0.36363636363636365,84,5,39,13,5.5,162.0,314.0,91.0,245.0,116.0,368.0,161.0,258.0,22,4.44,27.818181818181817,270,54.55,24.966666666666665,477,96.36,20.61425576519916
person,person,,,,True,False,False,4,4,4.0,47,8.224639249639253,0.4483695652173913,0.08887425938117183,0.012848561929413317,0.006342935816620025,32.487005838052156,35.46808510638298,0.11616128737793245,0.06535809641794402,0.37187789084181316,402,4,69,22,11.75,25.0,31.0,20.0,113.0,32.0,123.0,18.0,74.0,47,9.49,35.46808510638298,340,68.69,23.66764705882353,489,98.79,20.20040899795501
person,person,,,,True,False,False,2,2,2.0,14,4.166666666666667,0.3639705882352941,0.0892052622094071,0.002341742238718215,0.007342326584750824,17.359999999999996,19.0,0.010850490108540752,0.010177976015972815,0.5604395604395604,51,4,28,10,7.0,309.0,284.0,264.0,107.0,195.0,106.0,329.0,327.0,14,2.83,19.0,147,29.7,27.891156462585034,459,92.73,20.96949891067538
person,person,,,,True,False,False,2,2,2.0,20,5.851190476190476,0.339273474982865,0.07745872779907673,4.493219796577822e-05,0.00036037859004366173,24.685656154628685,28.3,0.027687735759045685,0.06689117812301301,0.868421052631579,165,5,61,18,10.0,192.0,145.0,370.0,369.0,457.0,454.0,178.0,68.0,20,4.04,28.3,97,19.6,28.90721649484536,406,82.02,21.95566502463054
person,person,,,,True,False,False,3,3,3.0,23,6.9107142857142865,0.34208707671043537,0.076574021554169,0.0003109778009683585,0.005983834524504376,22.63169681309216,25.73913043478261,0.02899555177905099,0.07155875973406778,0.7035573122529645,178,5,61,18,7.666666666666667,148.0,87.0,353.0,384.0,408.0,129.0,166.0,59.0,23,4.65,25.73913043478261,103,20.81,29.038834951456312,409,82.63,21.87530562347188
person,person,,,,False,False,False,2,2,2.0,9,2.1845238095238098,0.3647752394988946,0.07678783804746883,0.0012274473893096748,0.004596550684147299,22.63760217983651,28.22222222222222,0.01140584882963281,0.010649366781053242,0.5,18,4,20,9,4.5,407.0,446.0,261.0,382.0,281.0,198.0,322.0,321.0,9,1.82,28.22222222222222,165,33.33,27.78181818181818,449,90.71,21.334075723830736
person,person,,,,True,False,False,2,2,2.0,9,2.2666666666666666,0.34208707671043537,0.07817641020241635,0.001031135694090602,0.0021015242067873633,17.301470588235293,18.77777777777778,0.004784116718507295,0.006112088059727886,0.6111111111111112,22,5,15,8,4.5,407.0,440.0,353.0,346.0,308.0,348.0,400.0,375.0,9,1.82,18.77777777777778,103,20.81,23.825242718446603,422,85.25,22.0
person,person,,,,False,False,True,2,2,2.0,13,3.4333333333333336,0.34256055363321797,0.08239106070861861,0.0006716414256995946,0.0019693585861847423,26.70388349514563,27.615384615384617,0.012027601131141822,0.020833475622302353,0.8461538461538461,66,5,39,13,6.5,332.0,348.0,352.0,250.0,348.0,356.0,313.0,230.0,13,2.63,27.615384615384617,126,25.45,26.88095238095238,399,80.61,22.18546365914787
person,person,,,,True,False,False,2,2,2.0,25,6.725,0.38884524744697563,0.0902815141760216,0.0020555222655287216,0.005619530836988818,27.938042131350677,30.32,0.036387908168482246,0.04407943722466374,0.5233333333333333,157,4,54,15,12.5,128.0,93.0,161.0,84.0,207.0,143.0,121.0,125.0,25,5.05,30.32,211,42.63,27.77251184834123,471,95.15,20.78980891719745
person,person,,,,False,True,False,2,2,1.0,16,3.7666666666666675,0.37585421412300685,0.0903064947701289,0.0004923412369077814,0.00457940432636789,31.81415929203539,35.9375,0.04196074695810245,0.03504866930974984,0.525,63,4,41,13,8.0,263.0,325.0,217.0,83.0,375.0,200.0,106.0,145.0,16,3.23,35.9375,190,38.38,28.826315789473686,457,92.32,21.037199124726477
person,person,,,,True,False,True,3,3,3.0,23,5.315079365079366,0.39223454833597465,0.08724773067771217,0.0033935544127357722,0.004420365209838895,21.612513065551738,25.043478260869566,0.030785924792622415,0.0197048446144216,0.39920948616600793,101,4,36,12,7.666666666666667,148.0,184.0,150.0,147.0,154.0,210.0,160.0,240.0,23,4.65,25.043478260869566,223,45.05,25.90134529147982,472,95.35,20.58262711864407
person,person,,,,False,False,False,2,2,2.0,13,3.511111111111111,0.33044058744993327,0.07221708894616544,0.0002600110478726281,0.0012303376816933432,19.76582278481013,21.846153846153847,0.006715560485766364,0.004191446804986843,0.6410256410256411,50,5,22,9,6.5,332.0,343.0,394.0,441.0,417.0,397.0,368.0,403.0,13,2.63,21.846153846153847,91,18.38,23.252747252747252,379,76.57,22.08970976253298
person,person,,,,False,False,False,2,2,2.0,9,2.8333333333333335,0.31309297912713474,0.0774971297359357,0.004601959612931009,0.011506809189302131,10.588235294117647,11.11111111111111,0.001985419496944552,0.0023829753376534194,0.5,18,5,10,6,4.5,407.0,405.0,448.0,368.0,121.0,32.0,457.0,450.0,9,1.82,11.11111111111111,58,11.72,20.896551724137932,337,68.08,23.032640949554896
person,person,,,,False,False,False,2,2,2.0,11,4.227777777777778,0.3333333333333333,0.08474334465146803,0.0007564168886947163,0.002615432886565265,14.198423127463863,16.727272727272727,0.0036040211271630164,0.006553406085683585,0.6727272727272727,37,6,20,9,5.5,371.0,277.0,386.0,200.0,333.0,314.0,422.0,366.0,11,2.22,16.727272727272727,97,19.6,22.917525773195877,391,78.99,22.130434782608695
person,person,,,,True,False,False,3,3,3.0,43,8.696031746031746,0.4308093994778068,0.09414225941422592,0.011620551608861758,0.012503165691118093,32.29113808524231,34.48837209302326,0.09777682441602646,0.07457241872638126,0.39867109634551495,360,4,68,22,14.333333333333334,34.0,16.0,39.0,22.0,38.0,22.0,27.0,53.0,43,8.69,34.48837209302326,302,61.01,24.02317880794702,486,98.18,20.320987654320987
person,person,,,,False,False,False,2,2,2.0,13,3.6500000000000004,0.3730218538055765,0.08917579942951508,0.0008396625343240026,0.003367237051447578,25.490867579908677,29.23076923076923,0.022223671725809337,0.01726999984419815,0.6666666666666666,52,4,30,11,6.5,332.0,334.0,232.0,108.0,328.0,271.0,211.0,257.0,13,2.63,29.23076923076923,185,37.37,26.751351351351353,455,91.92,20.993406593406593
person,person,,,,True,False,False,3,3,3.0,38,7.644444444444445,0.4270923209663503,0.08935018050541518,0.00801562890897882,0.01172863757515948,32.84987541528239,36.28947368421053,0.09505768496525256,0.056717006634905136,0.4366998577524893,307,4,67,19,12.666666666666666,47.0,51.0,45.0,102.0,61.0,31.0,30.0,105.0,38,7.68,36.28947368421053,294,59.39,24.632653061224488,489,98.79,20.25357873210634
person,person,,,,False,False,False,2,2,2.0,9,2.342857142857143,0.3568853640951694,0.08312226249282824,0.0,0.0,24.55792682926829,28.11111111111111,0.010482957121014026,0.009877513063582472,1.0,36,5,20,9,4.5,407.0,430.0,298.0,239.0,465.0,469.0,333.0,330.0,9,1.82,28.11111111111111,154,31.11,26.383116883116884,432,87.27,21.488425925925927
person,person,,,,False,False,False,3,3,3.0,19,3.5650793650793653,0.3873239436619718,0.08050307646436992,0.004412042631022066,0.0022027290448343073,27.02203918076581,31.210526315789473,0.02778136491728798,0.02512147164450195,0.5263157894736842,90,5,50,15,6.333333333333333,204.0,340.0,173.0,293.0,126.0,341.0,177.0,192.0,19,3.84,31.210526315789473,220,44.44,26.35,465,93.94,20.90967741935484
person,person,,,,True,False,False,3,3,3.0,22,8.14563492063492,0.34303534303534305,0.07511950830867281,0.00019622072550129277,0.0009162136318313482,23.87397086763774,27.181818181818183,0.028723825670928987,0.09655690792892126,0.7878787878787878,182,5,61,18,7.333333333333333,162.0,33.0,347.0,401.0,428.0,415.0,168.0,22.0,22,4.44,27.181818181818183,104,21.01,28.384615384615383,412,83.23,21.79854368932039
person,person,,,,True,False,False,3,3,3.0,43,8.98531746031746,0.4411764705882353,0.09555830826402407,0.003549188777942188,0.0030252150826313513,39.0964536501347,41.48837209302326,0.13660235594693648,0.10429190765545523,0.4806201550387597,434,4,69,22,14.333333333333334,34.0,13.0,26.0,11.0,148.0,292.0,10.0,19.0,43,8.69,41.48837209302326,328,66.26,24.24390243902439,487,98.38,20.27310061601643
person,person,,,,False,True,True,3,3,2.0,17,4.576190476190476,0.38018433179723504,0.08420515437611636,0.006279311312463572,0.00895779658937553,17.55411030176899,22.0,0.019421930480954003,0.015306586342395338,0.38235294117647056,52,4,26,10,5.666666666666667,235.0,238.0,198.0,209.0,79.0,71.0,232.0,271.0,17,3.43,22.0,192,38.79,27.067708333333332,469,94.75,20.816631130063964
person,person,,,,True,False,False,2,2,2.0,25,6.445634920634921,0.36775631500742945,0.08387816484742362,0.002017254835268236,0.01374634875432323,24.15699070368774,27.52,0.03390354494306047,0.06303151153269852,0.6133333333333333,184,4,62,18,12.5,128.0,99.0,251.0,218.0,212.0,10.0,133.0,84.0,25,5.05,27.52,159,32.12,26.855345911949687,450,90.91,20.964444444444446
person,person,,,,False,False,False,2,2,2.0,11,3.3511904761904763,0.33513879485443465,0.07519939232814281,7.933629338738259e-05,3.435161329898172e-05,21.019538188277085,25.272727272727273,0.013440131157717423,0.028709737323094262,0.6727272727272727,37,5,22,9,5.5,371.0,360.0,382.0,398.0,455.0,466.0,292.0,172.0,11,2.22,25.272727272727273,95,19.19,28.842105263157894,399,80.61,22.0
person,person,,,,True,False,False,3,3,3.0,35,7.280555555555557,0.4259896729776248,0.09255219694608911,0.005706578071419698,0.008443677330317,31.48601951272687,35.97142857142857,0.09020743430131127,0.06082702660667275,0.4907563025210084,292,4,69,22,11.666666666666666,55.0,61.0,50.0,43.0,92.0,79.0,39.0,92.0,35,7.07,35.97142857142857,303,61.21,24.475247524752476,480,96.97,20.454166666666666
person,person,,,,True,False,False,2,2,2.0,14,3.9000000000000004,0.36830357142857145,0.08432229856339787,0.0018589785492623403,0.009795423522573557,19.38888888888889,22.785714285714285,0.012712634666742412,0.009549706490875437,0.6043956043956044,55,5,30,11,7.0,309.0,306.0,249.0,206.0,222.0,52.0,305.0,334.0,14,2.83,22.785714285714285,176,35.56,26.78409090909091,448,90.51,21.354910714285715
person,person,,,,True,False,False,2,2,2.0,12,4.309523809523809,0.34908321579689705,0.08571304887375363,0.0011890462573429586,0.00497655031958217,14.853591160220995,17.25,0.006382892345925231,0.009976486648789912,0.5757575757575758,38,5,21,9,6.0,347.0,266.0,329.0,175.0,285.0,175.0,371.0,328.0,12,2.42,17.25,119,24.04,25.168067226890756,434,87.68,21.65437788018433
person,person,,,,True,False,False,6,6,6.0,58,8.51382783882784,0.4643527204502814,0.08664575887973157,0.018880007013756712,0.002153012679328468,29.68076066730486,30.56896551724138,0.10298126859909766,0.05640408096498756,0.2813067150635209,465,4,69,22,9.666666666666666,9.0,20.0,5.0,161.0,14.0,344.0,24.0,106.0,58,11.72,30.56896551724138,364,73.54,23.024725274725274,492,99.39,20.11382113821138
person,person,,,,True,False,False,2,2,2.0,12,5.583333333333333,0.31112507856693905,0.08093525179856113,0.00046269927145924523,0.001228236087762526,13.059701492537314,13.333333333333334,0.001445791734465229,0.003406955911044706,0.7272727272727273,48,5,23,9,6.0,347.0,168.0,452.0,279.0,379.0,398.0,470.0,423.0,12,2.42,13.333333333333334,54,10.91,18.85185185185185,328,66.26,23.149390243902438
person,person,,,,False,False,False,2,2,2.0,6,1.833333333333333,0.2992744860943168,0.07252038872881769,0.0015647154554684255,0.0043358111374305714,10.81818181818182,11.166666666666666,0.0006652883775583837,0.000899844316039122,0.6666666666666666,10,5,7,5,3.0,461.0,459.0,474.0,437.0,251.0,215.0,490.0,485.0,6,1.21,11.166666666666666,45,9.09,16.066666666666666,280,56.57,22.72142857142857
person,person,,,,False,False,False,2,2,2.0,5,1.325,0.3241650294695481,0.07510526116147632,0.0003036393999402781,0.0024057781075324937,13.320754716981131,15.6,0.002338631697442638,0.0017276739077278544,0.4,4,5,7,5,2.5,466.0,478.0,426.0,404.0,410.0,328.0,443.0,467.0,5,1.01,15.6,61,12.32,24.57377049180328,389,78.59,22.334190231362467
person,person,,,,False,False,False,2,2,2.0,11,2.5428571428571427,0.3744326777609682,0.0783976264260713,0.0012408661144882372,0.0015352483773536404,27.364232209737832,33.54545454545455,0.02369227115219666,0.012644040631811267,0.6727272727272727,37,4,21,9,5.5,371.0,417.0,223.0,342.0,279.0,380.0,199.0,300.0,11,2.22,33.54545454545455,184,37.17,28.929347826086957,463,93.54,20.88768898488121
person,person,,,,True,False,False,2,2,2.0,12,4.916666666666666,0.29981829194427617,0.0807526033878028,0.00043289599245903854,0.002252402967652629,12.915254237288135,12.916666666666666,0.0009581787509835888,0.002599892386558968,0.6818181818181818,45,5,22,9,6.0,347.0,216.0,471.0,287.0,388.0,336.0,484.0,441.0,12,2.42,12.916666666666666,50,10.1,16.0,275,55.56,22.887272727272727
person,person,,,,True,False,False,2,2,2.0,17,4.575,0.3645066273932253,0.08302350935062756,0.0018653095892307771,0.005860864962815644,21.07285974499089,23.41176470588235,0.013390172698506985,0.010921719957310345,0.7058823529411765,96,5,45,14,8.5,235.0,239.0,262.0,241.0,220.0,134.0,294.0,317.0,17,3.43,23.41176470588235,141,28.48,26.078014184397162,465,93.94,20.926881720430107
person,person,,,,True,False,False,2,2,2.0,12,2.886111111111111,0.3439888811674774,0.07298731937481567,0.0007732695101300749,0.0027719651722841513,18.90952839268527,23.583333333333332,0.008550348061372998,0.0039960218941236655,0.5454545454545454,36,4,15,8,6.0,347.0,402.0,345.0,430.0,331.0,310.0,354.0,407.0,12,2.42,23.583333333333332,112,22.63,25.107142857142858,417,84.24,21.937649880095922
person,person,,,,True,False,False,3,3,3.0,25,5.07900432900433,0.39254559873116573,0.08404550342407606,0.0076265084700390525,0.010105150774357727,22.07466439377796,24.76,0.03187341831220937,0.01961936825117552,0.32666666666666666,98,5,36,12,8.333333333333334,128.0,201.0,149.0,211.0,63.0,47.0,151.0,241.0,25,5.05,24.76,227,45.86,26.207048458149778,469,94.75,20.79317697228145
person,person,,,,False,True,True,4,4,3.0,23,4.088095238095239,0.38671875,0.08389593514307506,0.006249537671625394,0.003107407094647924,20.88701223063482,22.0,0.02233396197960654,0.020102380748021953,0.2845849802371542,72,5,39,13,5.75,148.0,289.0,176.0,217.0,80.0,287.0,210.0,237.0,23,4.65,22.0,208,42.02,25.783653846153847,470,94.95,20.812765957446807
person,person,,,,False,False,False,3,3,3.0,28,5.4071428571428575,0.41701769165964614,0.08726311150286468,0.0036315918917894643,0.004451454773501151,37.857038015558494,40.464285714285715,0.08743564163326317,0.05150003261711306,0.5740740740740741,217,4,67,19,9.333333333333334,90.0,178.0,66.0,145.0,144.0,207.0,43.0,114.0,28,5.66,40.464285714285715,280,56.57,25.103571428571428,485,97.98,20.377319587628865
person,person,,,,True,False,False,2,2,2.0,11,2.876190476190476,0.3661242603550296,0.08684210526315791,0.0008947441458102123,0.004898847091829546,21.873344370860924,24.363636363636363,0.013347068442554264,0.01182949390296653,0.6727272727272727,37,4,20,9,5.5,371.0,403.0,257.0,157.0,321.0,180.0,295.0,308.0,11,2.22,24.363636363636363,156,31.52,27.903846153846153,461,93.13,21.08459869848156
person,person,,,,True,False,False,3,3,3.0,9,2.242857142857143,0.29891304347826086,0.06593845743972292,0.004624967812571262,0.004918687550266498,8.337579617834395,9.0,0.0020302593832761773,0.0013752411442457912,0.4444444444444444,16,5,9,6,3.0,407.0,442.0,475.0,482.0,118.0,179.0,452.0,473.0,9,1.82,9.0,40,8.08,24.925,289,58.38,24.366782006920417
person,person,,,,False,False,True,2,2,2.0,9,3.8333333333333335,0.3252299605781866,0.083539603960396,0.0003487262727694007,0.0021861619162563814,12.93478260869565,13.88888888888889,0.002946616415542457,0.005435573390018952,0.6666666666666666,24,5,15,8,4.5,407.0,312.0,422.0,223.0,398.0,342.0,434.0,386.0,9,1.82,13.88888888888889,74,14.95,23.39189189189189,378,76.36,22.687830687830687
person,person,,,,False,False,True,3,3,3.0,34,6.834163059163061,0.4267241379310345,0.08962114696962838,0.00525124731090532,0.006177255906123534,32.788157915573535,36.970588235294116,0.0828131382901301,0.06103129263845982,0.44206773618538325,248,4,63,18,11.333333333333334,58.0,88.0,46.0,96.0,98.0,127.0,50.0,90.0,34,6.87,36.970588235294116,301,60.81,24.694352159468437,485,97.98,20.325773195876288
person,person,,,,False,False,False,2,2,2.0,16,4.2095238095238106,0.376425855513308,0.09115014915478951,0.0025704652446490875,0.007623810051733005,21.570701357466056,24.3125,0.014934042582053327,0.014332400404664434,0.5,60,5,31,11,8.0,263.0,279.0,214.0,68.0,183.0,102.0,271.0,280.0,16,3.23,24.3125,186,37.58,24.629032258064516,464,93.74,20.961206896551722
person,person,,,,True,False,False,2,2,2.0,14,3.516666666666667,0.3613138686131387,0.0792,0.0016055380467626405,0.003456965477576446,21.81990521327014,25.571428571428573,0.012849968931262255,0.007373028435954583,0.6593406593406593,60,4,31,11,7.0,309.0,342.0,280.0,327.0,247.0,264.0,298.0,355.0,14,2.83,25.571428571428573,164,33.13,26.445121951219512,432,87.27,21.599537037037038
person,person,,,,False,False,False,3,3,3.0,18,3.730591630591631,0.36639526276831974,0.07990959722334329,0.0012256973839574856,0.003136554689738349,22.249506827060685,25.833333333333332,0.02202332160997857,0.023601879900639295,0.49673202614379086,76,4,36,12,6.0,218.0,330.0,255.0,313.0,282.0,286.0,212.0,211.0,18,3.64,25.833333333333332,154,31.11,27.461038961038962,457,92.32,21.035010940919037
person,person,,,,False,False,False,2,2,2.0,7,1.4999999999999998,0.3503184713375796,0.0714028128380815,0.00032691628374893744,0.0004699004699004699,25.888888888888893,31.0,0.009270016637078382,0.005827303318691846,0.5238095238095238,11,5,12,7,3.5,446.0,472.0,328.0,451.0,406.0,438.0,344.0,379.0,7,1.41,31.0,129,26.06,27.31782945736434,435,87.88,21.72873563218391
person,person,,,,False,True,False,2,2,1.0,21,5.345238095238095,0.3972712680577849,0.0954462191085259,0.0009453823345539769,0.012279964096738654,34.022271714922056,36.476190476190474,0.051280289807423725,0.049252407055426446,0.6333333333333333,133,4,48,14,10.5,180.0,183.0,131.0,12.0,314.0,26.0,88.0,117.0,21,4.24,36.476190476190474,239,48.28,26.02510460251046,474,95.76,20.588607594936708
person,person,,,,True,False,False,2,2,2.0,16,8.25,0.3265171503957784,0.07963427223123432,0.0,0.0010248830312668293,19.939393939393938,22.4375,0.007769025866175772,0.1268670125821615,1.0,120,6,59,16,8.0,263.0,27.0,411.0,318.0,465.0,406.0,360.0,10.0,16,3.23,22.4375,77,15.56,25.83116883116883,378,76.36,22.66137566137566
person,person,,,,False,False,False,2,2,2.0,7,2.8333333333333335,0.32038834951456313,0.08138101109741061,0.00034530315148071424,0.0025206036210820883,11.294117647058822,13.0,0.0019872872892125323,0.0036300398231936186,0.6190476190476191,13,5,12,7,3.5,446.0,405.0,432.0,269.0,401.0,321.0,455.0,416.0,7,1.41,13.0,65,13.13,24.4,367,74.14,22.91008174386921
person,person,,,,True,False,False,3,3,3.0,45,9.457936507936505,0.4274611398963731,0.09218449314048045,0.00894881657245591,0.023620485146310766,34.039859024922386,35.266666666666666,0.10461730232561645,0.10752557152897035,0.41515151515151516,411,4,63,18,15.0,29.0,7.0,43.0,51.0,47.0,1.0,23.0,17.0,45,9.09,35.266666666666666,288,58.18,24.95138888888889,489,98.79,20.198364008179958
person,person,,,,True,False,True,2,2,2.0,14,3.5761904761904764,0.37786259541984735,0.0912106135986733,0.0006630394582640518,0.005339670462354796,25.551930758988018,27.5,0.01939588962017766,0.018500478709766677,0.5274725274725275,48,4,39,13,7.0,309.0,339.0,210.0,64.0,349.0,152.0,233.0,249.0,14,2.83,27.5,191,38.59,27.638743455497384,465,93.94,21.004301075268817
person,person,,,,False,False,False,3,3,3.0,33,8.08015873015873,0.39695268644747395,0.09012016021361817,0.00483943217271529,0.0052796778059996845,26.423828700520577,27.96969696969697,0.03324283035287091,0.052534675615983524,0.42803030303030304,226,5,53,15,11.0,62.0,37.0,133.0,88.0,112.0,157.0,144.0,112.0,33,6.67,27.96969696969697,243,49.09,25.720164609053498,458,92.53,21.04585152838428
person,person,,,,True,False,False,2,2,2.0,29,6.93690476190476,0.41387959866220736,0.09681993773532624,0.0016985850840609057,0.013416721366666171,36.95263428865626,39.51724137931034,0.0884706992589129,0.06973431691887423,0.6699507389162561,272,4,69,22,14.5,87.0,81.0,73.0,6.0,239.0,13.0,41.0,62.0,29,5.86,39.51724137931034,276,55.76,25.159420289855074,479,96.77,20.532359081419624
person,person,,,,False,False,False,2,2,2.0,21,4.919444444444444,0.40807914262159933,0.0923823447074559,0.00093117840656674,0.005905335525627511,33.157538114059854,36.57142857142857,0.04466729829191838,0.02981997854189931,0.6238095238095238,131,4,55,15,10.5,180.0,215.0,92.0,48.0,316.0,133.0,99.0,168.0,21,4.24,36.57142857142857,266,53.74,25.169172932330827,480,96.97,20.5
person,person,,,,False,False,False,2,2,2.0,18,5.183333333333334,0.3383458646616541,0.08424432556318893,0.000585478693124866,0.0016603840367795711,24.996784565916396,25.833333333333332,0.014238372901787122,0.02823395724382378,0.6339869281045751,97,5,45,14,9.0,218.0,191.0,376.0,207.0,360.0,374.0,280.0,173.0,18,3.64,25.833333333333332,113,22.83,27.460176991150444,389,78.59,22.60668380462725
person,person,,,,True,False,False,2,2,2.0,10,2.9166666666666665,0.34688156972669937,0.08298407376362113,0.0,0.0,19.97142857142857,21.9,0.009475155104600499,0.007660709937270315,1.0,45,4,26,10,5.0,392.0,400.0,337.0,243.0,465.0,469.0,342.0,347.0,10,2.02,21.9,117,23.64,29.034188034188034,426,86.06,21.293427230046948
person,person,,,,True,False,True,3,3,3.0,28,6.0960317460317475,0.4191363251481795,0.0888516596113862,0.001386446470889981,0.003175706684478616,42.297552402030966,43.0,0.08856340397890115,0.07327556376647815,0.5793650793650794,219,4,63,18,9.333333333333334,90.0,123.0,60.0,114.0,268.0,282.0,40.0,55.0,28,5.66,43.0,284,57.37,25.429577464788732,487,98.38,20.326488706365502
person,person,,,,True,False,True,2,2,2.0,25,6.291666666666667,0.3950518754988029,0.09247410258086815,0.0013195986809194046,0.008051556217425435,29.411920529801325,31.44,0.041909793535411966,0.038729638768305645,0.55,165,4,53,15,12.5,128.0,105.0,139.0,44.0,273.0,88.0,107.0,137.0,25,5.05,31.44,229,46.26,26.716157205240176,473,95.56,20.708245243128964
person,person,,,,False,False,False,2,2,2.0,12,3.292857142857143,0.34114403859407305,0.07517845390573583,0.003349217746347373,0.01242419255975874,13.726681127982644,15.583333333333334,0.005602434616505061,0.002751981536820424,0.4696969696969697,31,5,17,8,6.0,347.0,366.0,360.0,399.0,158.0,23.0,381.0,435.0,12,2.42,15.583333333333334,104,21.01,23.028846153846153,414,83.64,21.654589371980677
person,person,,,,False,False,False,2,2,2.0,13,3.352777777777778,0.3581765557163531,0.08262163741063233,0.003613738829003375,0.009237328123967796,18.380281690140844,22.23076923076923,0.008122212456358403,0.00564270553823711,0.48717948717948717,38,5,22,9,6.5,332.0,359.0,295.0,246.0,145.0,61.0,357.0,382.0,13,2.63,22.23076923076923,140,28.28,23.357142857142858,446,90.1,21.278026905829595
