node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,ppg_bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,True,False,False,2,2,2.0,9,2.208333333333333,0.3399725274725275,0.07182744001683228,0.00033793615270899806,0.0015143206371276544,21.603773584905664,24.88888888888889,0.007108179438467085,0.003942705466855405,0.5833333333333334,21,5,15,8,4.5,407.0,445.0,367.0,449.0,404.0,381.0,367.0,408.0,9,1.82,24.88888888888889,102,20.61,25.69607843137255,416,84.04,22.125
person,person,,,,True,False,False,4,4,4.0,44,7.960353535353539,0.4368932038834951,0.09038757094815647,0.008042223374621505,0.003924675360082058,32.813193088040016,33.20454545454545,0.09378686682857629,0.06302025775106294,0.39112050739957716,370,4,69,22,11.0,32.0,39.0,32.0,82.0,60.0,236.0,33.0,85.0,44,8.89,33.20454545454545,312,63.03,24.182692307692307,491,99.19,20.177189409368637
person,person,,,,True,False,False,2,2,2.0,26,7.203968253968254,0.40048543689320387,0.0943561069369212,0.0017207606689910238,0.005288648745893257,32.301972017186294,35.69230769230769,0.058074675566967236,0.06560721907879725,0.7569230769230769,246,4,68,22,13.0,110.0,67.0,118.0,16.0,235.0,155.0,78.0,71.0,26,5.25,35.69230769230769,241,48.69,25.863070539419088,477,96.36,20.59119496855346
person,person,,,,True,False,False,8,8,8.0,42,5.277955377955376,0.41387959866220736,0.07271285034373359,0.017745179199393224,0.0022738275369854318,27.082822808423305,26.761904761904763,0.05753841144646581,0.025811182522813524,0.2508710801393728,216,4,54,15,5.25,36.0,187.0,73.0,434.0,16.0,335.0,80.0,185.0,42,8.48,26.761904761904763,262,52.93,25.015267175572518,480,96.97,20.4875
person,person,,,,False,False,False,2,2,2.0,7,1.2777777777777777,0.3685778108711839,0.07362601948486577,0.00042431001380739545,0.0007595523384997069,30.358695652173914,37.57142857142857,0.01423482224183549,0.006439356188513295,0.47619047619047616,10,5,12,7,3.5,446.0,479.0,246.0,423.0,391.0,426.0,281.0,371.0,7,1.41,37.57142857142857,176,35.56,27.539772727272727,455,91.92,21.15164835164835
person,person,,,,True,False,False,2,2,2.0,21,7.23452380952381,0.3395061728395062,0.07759026072417574,8.25972863433741e-05,0.0008626319737982209,24.660523284515374,27.714285714285715,0.02820383433268935,0.08763373110870093,0.8380952380952381,176,5,61,18,10.5,180.0,64.0,368.0,365.0,454.0,420.0,174.0,38.0,21,4.24,27.714285714285715,97,19.6,28.896907216494846,406,82.02,21.95320197044335
person,person,,,,True,False,False,2,2,2.0,12,3.2333333333333334,0.35106382978723405,0.08362428201374028,0.0017822959502031886,0.00559981701436738,16.12886597938144,17.5,0.005710803952144992,0.008255780652991226,0.4696969696969697,31,4,16,8,6.0,347.0,370.0,323.0,221.0,228.0,144.0,380.0,343.0,12,2.42,17.5,125,25.25,23.808,433,87.47,21.637413394919168
person,person,,,,False,False,False,2,2,2.0,9,3.4166666666666665,0.28350515463917525,0.06536810828656321,0.0001907969359596815,0.00011582958951380002,11.829268292682926,12.0,0.0009770662698179507,0.0013147594850397694,0.7777777777777778,28,5,15,8,4.5,407.0,351.0,486.0,483.0,431.0,464.0,483.0,474.0,9,1.82,12.0,30,6.06,16.9,209,42.22,23.37799043062201
person,person,,,,False,False,False,2,2,2.0,12,4.166666666666667,0.31589023611997447,0.08117193692093251,0.0005031229818051354,0.002105847369005264,13.219999999999997,13.166666666666666,0.0017600498525115183,0.002974952119010999,0.6515151515151515,43,5,23,9,6.0,347.0,284.0,442.0,275.0,374.0,347.0,462.0,433.0,12,2.42,13.166666666666666,52,10.51,21.826923076923077,352,71.11,22.704545454545453
person,person,,,,True,False,False,2,2,2.0,27,7.062301587301587,0.4107883817427386,0.09586520770795001,0.0009291899567020262,0.009558065574974354,35.35118278361521,37.666666666666664,0.06372680459569688,0.06640153182493189,0.7378917378917379,259,4,68,22,13.5,101.0,74.0,85.0,9.0,317.0,56.0,70.0,70.0,27,5.45,37.666666666666664,271,54.75,25.682656826568266,477,96.36,20.60796645702306
