node,node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Lewent / Judy C.,person,,,,,,,False,False,False,2,2.0,3,0.7333333333333334,0.27877237851662406,0.06936048361438116,0.0,0.0,16.363636363636363,18.0,0.006205944864894608,0.005440485462307281,1.0,3,7,4,3,1.5,413.0,425.0,336.0,404.0,412.0,411.0,278.0,305.0,3,0.69,18.0,47,10.78,16.085106382978722,196,44.95,14.301020408163266
Liddy / Edward M.,person,,,,,,,False,False,False,3,3.0,19,4.766666666666667,0.36003303055326175,0.08932290777478061,0.007985686878454037,0.004858970689404098,16.85664335664336,17.68421052631579,0.046353040058624166,0.033297623690137196,0.38596491228070173,66,6,32,8,6.333333333333333,47.0,48.0,39.0,96.0,85.0,235.0,64.0,92.0,19,4.36,17.68421052631579,154,35.32,15.525974025974026,368,84.4,11.896739130434783
Lillis / Charles M.,person,,,,,,,False,False,False,2,2.0,2,0.6666666666666666,0.255418863503222,0.07241923428286687,0.0,0.0,9.0,9.0,0.0018193801776248183,0.0028397350200404254,1.0,1,7,2,2,1.0,426.0,426.0,396.0,385.0,412.0,411.0,374.0,357.0,2,0.46,9.0,16,3.67,16.0625,127,29.13,17.007874015748033
Liveris / Andrew N.,person,,,,,,,True,True,False,4,3.0,31,6.142857142857146,0.3841409691629956,0.08887378970613215,0.02012700199224689,0.0064298283295436045,21.6813953488372,22.35483870967742,0.18629615731785373,0.15168544517716628,0.4043010752688172,188,6,43,17,7.75,7.0,20.0,8.0,101.0,17.0,168.0,4.0,18.0,31,7.11,22.35483870967742,199,45.64,14.668341708542714,387,88.76,11.65891472868217
Long / Michael J.,person,,,,,,,False,False,False,2,2.0,2,0.6666666666666666,0.23007915567282322,0.06789338454750721,9.757264423509281e-05,0.0009139161306197053,5.0,5.0,0.000479959680084987,0.0008816882573295395,0.0,0,8,2,2,1.0,426.0,426.0,421.0,411.0,411.0,396.0,407.0,408.0,2,0.46,5.0,10,2.29,11.6,61,13.99,15.80327868852459
Loranger / Steven R.,person,,,,,,,False,False,False,2,2.0,11,3.291666666666667,0.3385093167701863,0.09207053109492135,0.009927348250640865,0.015262947563643547,14.734177215189872,17.272727272727273,0.03607895892525495,0.0369815648327896,0.4909090909090909,27,5,23,7,5.5,142.0,148.0,81.0,64.0,60.0,14.0,81.0,78.0,11,2.52,17.272727272727273,106,24.31,17.367924528301888,341,78.21,12.190615835777127
Losh / J. Michael,person,,,,,,,False,False,False,2,2.0,7,2.033333333333333,0.2978142076502732,0.07661892628064318,0.001506027157853729,0.002826591109571179,12.131147540983607,13.142857142857142,0.004255241632151209,0.003261529868354187,0.7142857142857143,15,6,18,6,3.5,299.0,334.0,262.0,342.0,343.0,336.0,314.0,344.0,7,1.61,13.142857142857142,51,11.7,13.431372549019608,251,57.57,13.406374501992032
Loveman / Gary W.,person,,,,,,,False,True,False,2,1.0,24,6.474999999999999,0.37814397224631396,0.10161985782542828,0.006837810089612968,0.016512928672888037,24.190476190476193,25.708333333333332,0.1733448322798437,0.19245216500443746,0.5978260869565217,165,5,43,17,12.0,23.0,15.0,12.0,3.0,106.0,12.0,8.0,6.0,24,5.5,25.708333333333332,179,41.06,15.061452513966481,390,89.45,11.566666666666666
Lozano / Monica C.,person,,,,,,,True,False,True,2,2.0,12,3.7833333333333337,0.3123209169054441,0.08877426360798155,0.004867317351596417,0.012656246790223381,12.114537444933921,12.75,0.013896401898450289,0.015143622355054747,0.45454545454545453,30,7,24,7,6.0,115.0,102.0,182.0,103.0,151.0,32.0,190.0,174.0,12,2.75,12.75,85,19.5,15.011764705882353,286,65.6,12.755244755244755
Lyles / Lester L.,person,,,,,,,False,False,False,3,3.0,7,1.5999999999999999,0.307475317348378,0.08104842457477461,0.0008668752229903545,0.0008692999502869797,12.406250000000002,12.714285714285714,0.011265844652416262,0.010309394786660679,0.38095238095238093,8,7,22,7,2.3333333333333335,299.0,379.0,213.0,268.0,381.0,399.0,212.0,226.0,7,1.61,12.714285714285714,62,14.22,17.241935483870968,280,64.22,13.32857142857143
Lynch / Christopher S.,person,,,,,,,True,False,False,2,2.0,8,2.583333333333333,0.2898936170212766,0.08027987479285581,0.00715468592623658,0.008402843685191041,9.096774193548388,9.625,0.007645247185945333,0.007812403068717738,0.42857142857142855,12,6,12,5,4.0,262.0,269.0,297.0,283.0,100.0,100.0,249.0,271.0,8,1.83,9.625,52,11.93,15.5,229,52.52,13.213973799126638
Madonna / Jon C.,person,,,,,,,False,False,False,2,2.0,8,2.5,0.306826178747361,0.08712159056848837,0.002005510920431595,0.002499356936988365,13.266666666666666,13.875,0.013619678485260174,0.017408177424477218,0.75,21,6,22,7,4.0,262.0,281.0,216.0,121.0,317.0,353.0,195.0,156.0,8,1.83,13.875,67,15.37,15.477611940298507,275,63.07,12.872727272727273
Malone / John C.,person,,,,,,,False,False,False,3,3.0,8,2.7499999999999996,0.28165374677002586,0.06904925302222456,0.00559990595612461,0.0059759569756406205,6.1818181818181825,8.125,0.003046964572540111,0.0018504653020534828,0.4642857142857143,13,7,14,5,2.6666666666666665,262.0,244.0,321.0,406.0,129.0,186.0,338.0,390.0,8,1.83,8.125,38,8.72,12.447368421052632,199,45.64,14.00502512562814
Marram / Ellen R.,person,,,,,,,False,False,False,2,2.0,10,2.8166666666666664,0.32781954887218046,0.08843813387423935,0.003527254004367412,0.005262167297124589,14.603550295857993,15.5,0.02745034434722781,0.02761017898585469,0.4666666666666667,21,7,23,7,5.0,181.0,233.0,117.0,106.0,227.0,217.0,102.0,105.0,10,2.29,15.5,103,23.62,17.359223300970875,323,74.08,12.690402476780186
Martinez / Arthur C.,person,,,,,,,False,False,False,2,2.0,11,3.5,0.3076923076923077,0.08722325953587624,0.004528943209974494,0.00955773824169901,11.833333333333332,12.454545454545455,0.013741102801833566,0.015289541495924704,0.4909090909090909,27,7,23,7,5.5,142.0,125.0,212.0,120.0,173.0,69.0,192.0,173.0,11,2.52,12.454545454545455,75,17.2,14.946666666666667,284,65.14,12.80281690140845
May / Thomas J.,person,,,,,,,True,False,False,2,2.0,10,3.116666666666667,0.2918340026773762,0.08237813326615444,0.004443012509101681,0.006825428019670347,10.614973262032082,11.0,0.004402501738127267,0.004757813361319452,0.4888888888888889,22,7,23,7,5.0,181.0,173.0,290.0,233.0,181.0,151.0,312.0,316.0,10,2.29,11.0,53,12.16,12.169811320754716,230,52.75,13.130434782608695
McCarthy / Michael R.,person,,,,,,,False,False,False,2,2.0,7,2.333333333333333,0.2647237401335762,0.07980719363006804,0.002240910668654085,0.005367358981721528,8.285714285714286,8.285714285714286,0.00120781155497215,0.002930747830008013,0.42857142857142855,9,6,18,6,3.5,299.0,302.0,376.0,289.0,301.0,215.0,392.0,355.0,7,1.61,8.285714285714286,36,8.26,10.444444444444445,146,33.49,12.972602739726028
McCormick / Richard D.,person,,,,,,,True,False,False,2,2.0,15,4.233333333333334,0.34768740031897927,0.09018512772778985,0.006279979093659622,0.008331584932344187,16.188976377952752,17.266666666666666,0.03200695400292102,0.032144306095292216,0.4666666666666667,49,6,31,8,7.5,83.0,69.0,59.0,86.0,114.0,103.0,89.0,95.0,15,3.44,17.266666666666666,137,31.42,15.744525547445255,353,80.96,12.09915014164306
McDonald / Mackey J.,person,,,,,,,True,False,False,2,2.0,13,3.8333333333333335,0.332824427480916,0.09248064481917488,0.006643880224035991,0.010254590922101204,14.84782608695652,15.307692307692308,0.024257233828498478,0.03273637210046165,0.48717948717948717,38,5,31,8,6.5,99.0,98.0,93.0,56.0,110.0,54.0,115.0,94.0,13,2.98,15.307692307692308,106,24.31,16.62264150943396,327,75.0,12.34250764525994
McDonald / Robert A.,person,,,,,,,False,True,False,3,2.0,27,7.4333333333333345,0.36607892527287994,0.09732142857142857,0.010028030451770632,0.009736169806600541,21.867713004484305,21.703703703703702,0.16803200738740678,0.20905393113367524,0.5213675213675214,183,5,43,17,9.0,14.0,3.0,26.0,14.0,59.0,63.0,12.0,1.0,27,6.19,21.703703703703702,160,36.7,14.5625,374,85.78,11.772727272727273
McGarvie / Blythe J.,person,,,,,,,False,False,False,2,2.0,7,2.1999999999999997,0.2918340026773762,0.07571416167404706,0.005148164690686427,0.0046523774829690685,8.90909090909091,10.285714285714286,0.009451210850079998,0.007429488794224175,0.42857142857142855,9,7,14,5,3.5,299.0,320.0,290.0,350.0,138.0,247.0,229.0,279.0,7,1.61,10.285714285714286,48,11.01,17.75,234,53.67,14.02991452991453
McGraw / Harold III,person,,,,,,,False,True,False,3,2.0,30,6.550000000000001,0.3892857142857143,0.09600352306506661,0.02325943037872831,0.012971011629659059,21.246819338422387,22.166666666666668,0.17310347604124185,0.15711970493181954,0.40229885057471265,175,6,43,17,10.0,10.0,14.0,3.0,26.0,8.0,30.0,9.0,16.0,30,6.88,22.166666666666668,207,47.48,14.357487922705314,396,90.83,11.512626262626263
McKenna / Andrew J.,person,,,,,,,False,False,False,2,2.0,12,3.8666666666666667,0.31187410586552217,0.08522838339740667,0.0016439330903396552,0.004722100868889859,13.512931034482758,13.75,0.0072906840900070265,0.007653157942678463,0.5757575757575758,38,6,25,7,6.0,115.0,95.0,184.0,168.0,333.0,245.0,255.0,273.0,12,2.75,13.75,76,17.43,13.276315789473685,284,65.14,12.97887323943662
McNerney / W. James Jr.,person,,,,,,,False,True,False,4,3.0,35,7.285714285714289,0.3861824623560673,0.09373656299269029,0.015716981749152772,0.005821323538027111,22.884967320261435,22.542857142857144,0.2116240616934701,0.19315402930639758,0.3798319327731092,226,5,43,17,8.75,2.0,4.0,4.0,43.0,30.0,192.0,1.0,5.0,35,8.03,22.542857142857144,195,44.72,14.77948717948718,390,89.45,11.612820512820512
Mehrabian / Robert,person,,,,,,,True,False,False,2,2.0,13,3.9500000000000006,0.29163879598662207,0.08149278838665464,0.004699329504619103,0.008358332119800006,10.839662447257384,11.076923076923077,0.0033978130957227773,0.0036571546372188997,0.48717948717948717,38,6,30,8,6.5,99.0,87.0,292.0,259.0,161.0,102.0,329.0,334.0,13,2.98,11.076923076923077,55,12.61,11.636363636363637,228,52.29,13.153508771929825
Meyrowitz / Carol,person,,,,,,,False,False,False,2,2.0,3,1.0,0.23415682062298604,0.07207008650614359,0.0006437828178635994,0.001256383603742035,5.666666666666666,5.666666666666667,0.00033604073590307406,0.0008234049125254371,0.3333333333333333,1,7,4,3,1.5,413.0,416.0,412.0,395.0,392.0,386.0,416.0,410.0,3,0.69,5.666666666666667,15,3.44,9.066666666666666,65,14.91,12.092307692307692
Montoya / Jorge P.,person,,,,,,,False,False,False,2,2.0,8,2.5,0.2934051144010767,0.0855321235899951,0.0032636861301832314,0.005637503516292805,10.366666666666665,10.25,0.006824597390273765,0.009876874394961252,0.5714285714285714,16,5,19,6,4.0,262.0,281.0,283.0,162.0,239.0,201.0,266.0,234.0,8,1.83,10.25,50,11.47,13.78,222,50.92,13.536036036036036
Moose / Sandra O.,person,,,,,,,False,False,False,2,2.0,11,3.5,0.2988348183687457,0.08708968639723016,0.003784708029459513,0.008445505658412964,11.309523809523808,11.363636363636363,0.006956768217086606,0.01052464004449212,0.509090909090909,28,7,25,7,5.5,142.0,125.0,254.0,122.0,211.0,95.0,264.0,224.0,11,2.52,11.363636363636363,62,14.22,12.838709677419354,254,58.26,13.062992125984252
Morris / Michael G.,person,,,,,,,False,False,False,3,3.0,8,1.8,0.31142857142857144,0.07814320279594945,0.0017468613751407942,0.002257674133662745,13.13888888888889,13.5,0.020883990017110065,0.01610718066392032,0.39285714285714285,11,6,18,6,2.6666666666666665,262.0,353.0,186.0,324.0,330.0,357.0,132.0,168.0,8,1.83,13.5,73,16.74,17.931506849315067,290,66.51,12.96896551724138
Morrison / Robert S.,person,,,,,,,False,False,False,3,3.0,15,3.25,0.32561613144137413,0.07979502196193265,0.004495871659491631,0.0025383731410305267,13.512820512820513,14.333333333333334,0.01699419783637438,0.010012479969299071,0.38095238095238093,40,6,26,7,5.0,83.0,157.0,122.0,290.0,175.0,350.0,154.0,231.0,15,3.44,14.333333333333334,94,21.56,14.76595744680851,314,72.02,12.496815286624203
Mueller / Edward A.,person,,,,,,,False,False,False,2,2.0,5,1.5833333333333333,0.2629674306393245,0.07435620487749417,0.0014588864027701221,0.0033802594115786163,6.315789473684211,6.6,0.0019637875542166863,0.002239700120550402,0.4,4,6,7,4,2.5,364.0,380.0,380.0,369.0,346.0,309.0,365.0,381.0,5,1.15,6.6,25,5.73,11.12,145,33.26,14.862068965517242
Mulcahy / Anne M.,person,,,,,,,False,False,True,2,2.0,12,3.7500000000000004,0.3168604651162791,0.09614112458654907,0.00644716198231435,0.015109393752228304,12.244444444444444,12.5,0.009831834962110179,0.017692577724344422,0.45454545454545453,30,5,26,7,6.0,115.0,104.0,157.0,24.0,111.0,15.0,224.0,153.0,12,2.75,12.5,78,17.89,13.743589743589743,286,65.6,13.08041958041958
Mullien / John H. III,person,,,,,,,False,False,False,2,2.0,7,2.25,0.28165374677002586,0.08239629594632902,0.0018606809501357123,0.0047992739799130185,8.666666666666666,8.857142857142858,0.004203545056217244,0.005836796388121495,0.42857142857142855,9,7,13,5,3.5,299.0,312.0,321.0,232.0,324.0,238.0,317.0,294.0,7,1.61,8.857142857142858,42,9.63,13.714285714285714,196,44.95,14.153061224489797
Mulva / James J.,person,,,,,,,False,False,True,2,2.0,15,4.4,0.3430369787568843,0.09400941531605993,0.004596702741072472,0.008428170712299649,17.079545454545453,18.2,0.050390098872580516,0.06177396061148162,0.5047619047619047,53,6,37,9,7.5,83.0,60.0,71.0,38.0,167.0,96.0,60.0,50.0,15,3.44,18.2,126,28.9,16.53174603174603,347,79.59,12.253602305475503
Munger / Charles T.,person,,,,,,,False,False,False,2,2.0,9,3.2500000000000004,0.2759493670886076,0.08125232948192322,0.0005465595913598274,0.003668590744674262,11.28205128205128,11.222222222222221,0.005277604365247232,0.011955786161814695,0.8055555555555556,29,7,30,8,4.5,220.0,153.0,346.0,263.0,395.0,293.0,293.0,203.0,9,2.06,11.222222222222221,37,8.49,12.675675675675675,189,43.35,14.301587301587302
Murdoch / K. Rupert,person,,,,,,,False,False,False,2,2.0,6,1.7,0.2939986513823331,0.07613947261190988,0.0009475154384787929,0.002760993356532742,11.441176470588236,12.333333333333334,0.007619844500262766,0.005833622769327048,0.6666666666666666,10,7,15,5,3.0,336.0,361.0,281.0,346.0,377.0,338.0,250.0,295.0,6,1.38,12.333333333333334,52,11.93,15.923076923076923,242,55.5,13.446280991735538
Mu̱oz / George,person,,,,,,,False,False,True,2,2.0,5,1.5333333333333332,0.26233453670276774,0.07226319714925002,0.0025805497731428177,0.0017706233050727633,8.391304347826088,9.4,0.004212720430053099,0.005032892349218206,0.6,6,6,6,4,2.5,364.0,388.0,382.0,389.0,273.0,370.0,316.0,310.0,5,1.15,9.4,29,6.65,12.827586206896552,137,31.42,13.686131386861314
